timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
10247,64,162,0.033954,0.428683,-0.333694,0.000305,0.0,0.00169954,-0.272325,-1.0,0.958963,0.259491,0.230342,3391.6,67.3,62.0,582.5,100.0,1.0
10405,65,158,1.962402,0.920102,-0.313846,0.0,0.0,0.0020339,-0.193963,-0.966056,0.399286,0.638898,0.195691,3939.3,60.1,45.5,495.3,100.0,1.0
10565,66,160,-0.373067,0.816847,-0.381427,0.0,0.0,0.00237325,-0.403305,-1.0,-0.696607,0.355565,0.201566,3001.5,55.4,63.2,515.9,100.0,1.0
10725,67,160,4.639807,0.2,0.76373,0.0,0.027955,0.00322173,-0.218109,-1.0,0.862762,0.456316,0.206399,3506.0,60.2,55.9,371.3,100.0,1.0
10884,68,159,-1.146203,1.0,-0.3983,0.0,0.0,0.00270516,-0.504658,-1.0,-0.890925,0.095598,0.221224,2416.1,55.1,83.4,606.1,100.0,1.0
11043,69,159,5.93223,0.942245,-0.191369,0.0,0.0,0.0024841,-0.012383,-0.738791,0.458749,0.934463,0.215402,4805.2,62.1,60.2,427.5,100.0,1.0
11201,70,158,-4.384426,0.349207,0.702691,0.0,0.000146,0.00219487,-0.629137,-1.0,-0.752236,-0.357151,0.233838,1876.0,73.0,51.4,597.6,100.0,1.0
11362,71,161,-4.20581,0.2,-0.393134,0.006324,0.058749,0.00204683,-0.600329,-1.0,-1.0,-0.197357,0.205612,1695.1,52.8,73.6,536.8,100.0,1.0
11521,72,159,-2.705565,0.829918,-0.500614,0.014842,0.0,0.00222796,-0.528106,-1.0,-0.690804,-0.038351,0.237603,2492.9,64.8,75.6,690.9,100.0,1.0
11680,73,159,-3.480074,0.446154,0.644277,0.00142,0.0,0.0026586,-0.728295,-1.0,-1.0,-0.599856,0.241691,1009.0,63.0,84.1,366.1,100.0,1.0
11838,74,158,-4.710128,1.0,-0.51864,0.000188,0.0,0.00210952,-0.637317,-1.0,-1.0,-0.324643,0.199622,1505.4,55.7,60.3,549.1,100.0,1.0
11994,75,156,-4.02501,0.2,0.737795,0.015359,0.087931,0.00248765,-0.649813,-1.0,-0.866497,-0.382118,0.242641,1779.1,72.0,62.7,758.1,100.0,1.0
12145,76,151,-2.345966,1.0,0.679875,0.001437,0.0,0.00331116,-0.678445,-1.0,-1.0,-0.436993,0.236735,1526.4,67.8,67.3,247.5,100.0,1.0
12310,77,165,-4.446225,0.569401,-0.507371,0.0,0.0,0.0020736,-0.63083,-1.0,-0.963875,-0.312229,0.203871,1777.8,64.6,42.3,770.9,100.0,1.0
12475,78,165,0.915901,0.225938,-0.31948,0.0,0.042143,0.00265308,-0.379055,-0.997927,-0.547576,0.39969,0.225168,3817.9,68.2,54.7,476.6,100.0,1.0
12637,79,162,6.761658,0.848814,-0.284571,0.0,0.0,0.00254898,0.026138,-0.73099,0.720968,0.953677,0.19833,4834.9,61.9,43.7,522.9,100.0,1.0
12791,80,154,-3.83096,0.380472,0.60257,0.0,0.0,0.00261945,-0.658769,-1.0,-1.0,-0.397292,0.197905,1331.0,55.2,59.9,338.6,100.0,1.0
12959,81,168,1.392003,0.519979,-0.433757,0.0,2.8e-05,0.00253571,-0.335568,-1.0,0.479216,0.225395,0.255539,3712.0,75.7,66.2,544.1,100.0,1.0
13121,82,162,4.410759,0.261626,-0.167347,0.0,7e-06,0.00191584,-0.02402,-0.666141,0.696547,0.748824,0.259328,5082.0,72.6,77.7,701.4,100.0,1.0
13278,83,157,0.099041,1.0,0.6,0.004881,0.0,0.00420944,-0.707045,-1.0,-0.916126,-0.576629,0.212218,1072.1,63.3,53.9,249.4,100.0,1.0
13433,84,155,-2.427551,0.2,-0.503439,0.00283,0.143605,0.00181171,-0.439806,-1.0,-0.494878,0.172157,0.209829,2528.3,53.9,75.0,664.9,100.0,1.0
13594,85,161,2.500211,0.387923,-0.155029,0.000274,0.000133,0.00213803,-0.179762,-0.831389,0.06564,0.639498,0.228099,4452.4,67.9,58.4,770.1,100.0,1.0
13755,86,161,2.181384,0.2,-0.095095,0.007423,0.006716,0.00206641,-0.189385,-0.948446,0.166659,0.716601,0.208264,4006.4,58.3,62.4,941.7,100.0,1.0
13912,87,157,-1.201791,0.97858,-0.367287,0.009036,0.0,0.00262178,-0.490267,-1.0,-0.899105,0.127964,0.19373,2345.5,52.0,63.8,251.6,100.0,1.0
14074,88,162,-0.035527,0.509875,0.759248,0.002198,0.0,0.00332063,-0.54224,-1.0,-0.46249,-0.176707,0.214896,2140.6,65.0,52.4,394.2,100.0,1.0
14235,89,161,-0.617916,0.943139,-0.422548,0.0,0.0,0.0022446,-0.401355,-1.0,-0.110807,0.161788,0.194053,2531.1,54.5,57.9,389.1,100.0,1.0
14391,90,156,-2.586309,0.277824,-0.272784,0.0,0.0,0.00187153,-0.460698,-1.0,-0.424151,0.103491,0.246651,3276.1,74.2,61.1,715.6,100.0,1.0
14555,91,164,-1.612598,1.0,-0.392233,0.00896,0.0,0.00249182,-0.514164,-1.0,-0.828092,0.046081,0.225894,2857.5,68.3,55.2,600.9,100.0,1.0
14713,92,158,-1.147937,0.708835,0.720431,0.006152,0.0,0.00302966,-0.555033,-1.0,-0.178277,-0.291613,0.248607,2069.1,73.0,66.1,629.7,100.0,1.0
14873,93,160,4.717994,0.2,-0.216264,0.000508,0.01675,0.00236436,-0.069082,-0.837614,0.341853,0.913279,0.211027,4428.7,57.9,66.4,615.8,100.0,1.0
15029,94,156,5.672501,0.413134,-0.10659,0.007433,0.0,0.00258171,-0.031578,-0.643409,-0.080534,0.925242,0.218668,5168.6,67.1,50.9,616.5,100.0,1.0
15187,95,158,2.152506,0.53491,-0.207856,0.0,0.0,0.00192172,-0.162571,-0.942849,0.292201,0.753473,0.203465,4027.7,57.4,59.9,514.4,100.0,1.0
15350,96,163,2.771812,0.2,-0.250339,0.0,0.045427,0.00189504,-0.128002,-0.758901,0.054886,0.718043,0.226714,4728.6,68.8,54.7,850.0,100.0,1.0
15507,97,157,7.686282,0.349517,-0.116243,0.021032,3e-06,0.00263725,0.085295,-0.440316,0.125166,1.0,0.255477,5942.4,72.9,73.2,460.2,100.0,1.0
15669,98,162,-0.558057,0.302721,-0.403381,0.002998,0.013649,0.00235593,-0.418462,-1.0,-0.5346,0.263359,0.22005,3137.6,62.1,64.8,672.7,100.0,1.0
15828,99,159,1.984519,0.806427,-0.279868,0.0,0.0,0.00204175,-0.195109,-0.808252,0.090422,0.557269,0.240156,4540.6,72.9,57.9,547.0,100.0,1.0
15991,100,163,-0.258265,0.43728,-0.333609,0.00716,0.0,0.00212405,-0.362665,-1.0,-0.212239,0.327656,0.198688,2999.0,56.5,57.5,911.6,100.0,1.0
16151,101,160,-1.574668,0.2,-0.341659,0.001018,0.092671,0.00227466,-0.465905,-1.0,-0.444956,0.079834,0.226798,3006.7,69.6,52.8,571.9,100.0,1.0
16318,102,167,-0.146769,0.2,-0.401328,0.009836,0.174924,0.00217816,-0.372751,-1.0,-0.521109,0.419459,0.232387,3697.9,65.1,69.6,668.0,100.0,1.0
16477,103,159,-3.371005,1.0,0.722017,0.0,0.0,0.00270177,-0.64813,-1.0,-1.0,-0.341152,0.228923,1900.4,72.1,48.6,387.2,100.0,1.0
16637,104,160,9.731848,0.615856,-0.077102,0.0,0.0,0.00252403,0.225906,-0.301837,0.909689,1.0,0.221641,6470.0,57.5,77.9,448.9,100.0,1.0
16803,105,166,-0.690347,0.373591,-0.256661,0.012057,3.4e-05,0.00188228,-0.356581,-1.0,-0.196519,0.363234,0.229498,3661.0,67.1,61.7,873.3,100.0,1.0
16970,106,167,9.402735,0.629785,-0.020194,0.010838,0.0,0.00266454,0.162334,-0.385225,0.614873,1.0,0.225316,6152.3,69.3,52.1,352.8,100.0,1.0
17127,107,157,-3.241267,0.784617,0.704283,0.001004,0.0,0.00232864,-0.574956,-1.0,-0.962399,-0.125454,0.205397,1841.6,52.6,73.8,534.7,100.0,1.0
17290,108,163,7.819416,0.547962,-0.224069,0.003106,0.0,0.00254772,0.089478,-0.616269,0.797054,1.0,0.218596,5272.0,63.0,61.0,383.7,100.0,1.0
17456,109,166,-1.157655,0.706999,-0.32862,0.005093,0.0,0.00237455,-0.468771,-1.0,-0.923543,0.208024,0.194117,2292.5,47.4,75.5,483.2,100.0,1.0
17618,110,162,-3.26583,0.292389,0.609074,0.017973,0.042504,0.00269757,-0.653203,-1.0,-1.0,-0.353248,0.236145,1798.5,69.5,62.3,559.5,100.0,1.0
17774,111,156,2.72418,0.521237,-0.226225,0.015436,0.0,0.00250101,-0.214076,-1.0,-0.363475,0.859213,0.17746,3647.8,49.1,54.8,451.9,100.0,1.0
17936,112,162,1.232518,1.0,-0.33542,0.0,0.0,0.00276933,-0.369001,-1.0,-0.59968,0.434988,0.197649,2763.6,48.1,77.3,343.9,100.0,1.0
18091,113,155,5.79006,0.437868,-0.167177,0.007928,0.0,0.00236563,0.006678,-0.862269,0.941232,1.0,0.212687,4334.8,53.8,78.1,464.9,100.0,1.0
18249,114,158,-1.571176,0.432972,-0.431432,0.002768,0.0,0.00217628,-0.445082,-1.0,-0.34518,0.104278,0.209236,2553.5,57.8,64.7,656.5,100.0,1.0
18410,115,161,1.136782,0.2,-0.507472,0.002608,0.0,0.003143,-0.433713,-1.0,-0.165604,0.095412,0.228878,2879.3,65.7,64.6,434.8,100.0,1.0
18568,116,158,-4.346672,0.2,-0.461727,0.00125,0.0,0.00216502,-0.622847,-1.0,-0.981148,-0.278956,0.205228,1849.7,64.1,44.9,810.6,100.0,1.0
18733,117,165,6.239142,0.493586,-0.194377,0.013686,0.0,0.00229076,0.024623,-0.652184,0.816026,0.834724,0.232616,5135.2,70.0,57.7,590.9,100.0,1.0
18897,118,164,-3.932505,0.590318,0.716881,0.016445,0.0,0.00241051,-0.676414,-1.0,-1.0,-0.45953,0.192776,1179.4,54.6,56.4,455.8,100.0,1.0
19055,119,158,-2.173339,0.983093,0.638198,0.0,0.0,0.00323072,-0.741575,-1.0,-1.0,-0.652731,0.22878,987.6,71.1,51.0,405.0,100.0,1.0
19211,120,156,2.478298,0.342559,-0.22079,0.0,0.0,0.00235628,-0.207061,-0.887927,-0.267336,0.720098,0.205933,4237.0,61.6,52.0,561.9,100.0,1.0
19373,121,162,5.163411,0.445798,-0.163403,0.003213,0.0,0.00231609,-0.041511,-0.61405,0.135864,0.794805,0.239594,5280.5,73.6,55.7,735.5,100.0,1.0
19533,122,160,-0.364174,0.627891,-0.347683,0.0,0.0,0.00206138,-0.352861,-1.0,-0.139072,0.342958,0.209204,3156.2,58.8,62.3,506.5,100.0,1.0
19687,123,154,-0.624382,0.351252,0.724038,0.003308,5.1e-05,0.00281291,-0.473573,-1.0,-0.431907,0.037271,0.207817,2356.8,56.8,65.8,275.5,100.0,1.0
19846,124,159,0.097459,1.0,-0.502131,0.003864,0.0,0.0025895,-0.405312,-1.0,-0.203727,0.179272,0.193603,2812.0,59.6,44.6,364.9,100.0,1.0
20008,125,162,-2.592934,1.0,-0.373896,0.020539,0.0,0.00228753,-0.537714,-1.0,-0.622561,-0.104708,0.220228,1985.6,55.4,81.6,685.4,100.0,1.0
20165,126,157,-2.755496,0.2,-0.371209,0.011853,0.0,0.00233665,-0.544412,-1.0,-0.907141,-0.024836,0.231234,2646.8,67.9,61.6,470.7,100.0,1.0
20321,127,156,7.48524,0.333636,-0.11498,0.000383,0.000149,0.00243796,0.10185,-0.540803,0.591038,1.0,0.204666,5559.5,58.2,59.0,585.5,100.0,1.0
20481,128,160,-0.781162,0.528676,0.673537,0.001592,0.0,0.00330201,-0.579936,-1.0,-0.72985,-0.206604,0.22485,1942.4,61.2,71.8,309.3,100.0,1.0
20642,129,161,2.649643,0.2,-0.318057,0.01263,0.050296,0.00216629,-0.177536,-0.915031,0.535776,0.595023,0.218042,4133.7,64.8,56.1,580.8,100.0,1.0
20805,130,163,-4.593937,0.502815,0.649389,0.006402,0.0,0.00216043,-0.714813,-1.0,-1.0,-0.557348,0.238042,1252.9,70.8,61.1,835.9,100.0,1.0
20969,131,164,-0.860561,1.0,-0.3481,0.002611,0.0,0.00233313,-0.437775,-1.0,-0.330906,0.149255,0.247304,3171.5,69.0,74.8,466.2,100.0,1.0
21137,132,168,-3.169219,0.306008,-0.384305,0.004475,0.0,0.00172782,-0.493921,-1.0,-0.430051,0.004409,0.261196,2931.5,73.0,78.8,560.4,100.0,1.0
21298,133,161,-0.458664,0.2,0.682144,0.032083,0.0,0.00316627,-0.54061,-1.0,-0.438983,-0.161118,0.241881,2578.5,76.8,49.8,354.5,100.0,1.0
21462,134,164,-2.438132,0.61429,-0.35233,0.000416,0.0,0.00221869,-0.521049,-1.0,-0.650161,-0.019377,0.251098,3010.6,76.8,59.2,632.1,100.0,1.0
21619,135,157,-2.847279,0.492372,0.763706,0.00183,0.0,0.00230976,-0.546184,-1.0,-0.425954,-0.186111,0.238776,2324.0,71.4,60.3,558.2,100.0,1.0
21772,136,153,-4.128997,0.482741,0.658619,0.001737,6.7e-05,0.00236806,-0.628873,-1.0,-1.0,-0.293327,0.204376,1695.8,60.0,54.4,602.0,100.0,1.0
