scenario,level_idx,level_label,corner,episode,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,cum_reward
sensor_rate,4,20 %,balanced,3,-0.001618472975678742,-0.5905292630195618,0.5369251370429993,7613.8336181640625,464.8582305908203,185.22994422912598,0.657228779323661
sensor_rate,5,50 %,yield,1,0.7651441097259521,-0.7556805610656738,0.4488085210323334,10535.198974609375,1078.0147771244851,220.47658729553223,1.3178433608012776
sensor_rate,5,50 %,yield,2,0.9994565844535828,-0.7323717474937439,0.4034084975719452,11427.9296875,1067.5190238952637,238.63660621643066,1.6401641814303378
sensor_rate,5,50 %,yield,3,-0.29009848833084106,-0.8087674379348755,0.36274024844169617,6514.7247314453125,851.6756782531738,254.90389493380826,0.4243005839684775
sensor_rate,5,50 %,n_eff,1,0.7356739044189453,-0.23990437388420105,0.7142512798309326,10422.91748046875,342.8159942626953,114.29947757720947,0.2759283305752701
sensor_rate,5,50 %,n_eff,2,0.7748674154281616,0.2730177044868469,0.6468657851219177,10572.244873046875,207.62171936035156,141.25367546081543,0.7925643360908619
sensor_rate,5,50 %,n_eff,3,-0.1752176731824875,-0.31910809874534607,0.5829004049301147,6952.420654296875,255.26888275146484,166.8398380279541,0.2789840288330123
sensor_rate,5,50 %,water,1,0.7210295796394348,-0.4845697581768036,0.7248595356941223,10367.122802734375,502.83829498291016,110.05617487101983,1.239511958357308
sensor_rate,5,50 %,water,2,0.3074903190135956,-0.5880112051963806,0.7163645625114441,8791.5380859375,533.4816436767578,113.45417785644531,1.381416895965284
sensor_rate,5,50 %,water,3,-0.46935954689979553,-0.22412341833114624,0.6896666288375854,5831.7401123046875,187.90811157226562,124.13335800170898,1.1597848632311387
sensor_rate,5,50 %,balanced,1,0.7352311015129089,-0.48001527786254883,0.6320340037345886,10421.23046875,501.0354231314095,147.18640518188477,0.8177240807884117
sensor_rate,5,50 %,balanced,2,1.0,-0.5411302447319031,0.6018784642219543,11560.0927734375,629.8134231567383,159.24860763549805,1.0154790555726327
sensor_rate,5,50 %,balanced,3,0.006387865636497736,-0.6064338088035583,0.5320327281951904,7644.3377685546875,485.58143615722656,187.18691062927246,0.6534380791912129
obs_noise,0,0,yield,1,0.793415367603302,-0.3635943830013275,0.39673522114753723,10642.91259765625,418.0868492126465,241.30591201782227,1.3005950586938624
obs_noise,0,0,yield,2,1.0,-0.2900470197200775,0.36595720052719116,12378.123779296875,435.8782896636824,253.6171169281006,1.5902973881572304
obs_noise,0,0,yield,3,0.013298936188220978,-0.7209904193878174,0.28817078471183777,7670.6689453125,687.3122596740723,284.7316837310791,0.6953062742360582
obs_noise,0,0,n_eff,1,-0.1484914869070053,0.3016471266746521,0.4546850323677063,7054.2474365234375,135.4869384765625,218.1259822845459,0.6870720427555752
obs_noise,0,0,n_eff,2,0.19604027271270752,0.7797896265983582,0.11593455821275711,8366.913452148438,117.52671813964844,353.6261771325633,1.1868737721389684
obs_noise,0,0,n_eff,3,-0.35676780343055725,0.49810993671417236,0.284438818693161,6260.7147216796875,104.47689056396484,286.2244677312284,0.9653194718993632
obs_noise,0,0,water,1,0.5890267491340637,-0.07574618607759476,0.6830015778541565,9864.19189453125,266.8150177001953,126.79937362670898,1.1061537841468532
obs_noise,0,0,water,2,1.0,0.09535131603479385,0.6127220988273621,11803.831787109375,269.4074401855469,154.91117095947266,1.1975884901967395
obs_noise,0,0,water,3,0.13130104541778564,-0.02991756796836853,0.477867990732193,8120.2569580078125,209.26718934155733,208.85280227661133,0.9480284761861464
obs_noise,0,0,balanced,1,0.5777869820594788,-0.03969494625926018,0.5906801819801331,9821.368408203125,255.68355560302734,163.7279281616211,0.7706199088840143
obs_noise,0,0,balanced,2,1.0,0.17782194912433624,0.5413209795951843,12261.920166015625,260.266845703125,183.47161483764648,1.1352227736269689
obs_noise,0,0,balanced,3,0.5962762832641602,-0.01890990510582924,0.3650039732456207,9891.812744140625,252.06178283691406,253.99841499328613,0.8575385933739382
obs_noise,1,0.05,yield,1,0.8254381418228149,-0.4953881502151489,-0.11410097032785416,10764.91943359375,533.3267207586955,445.64038902185644,1.2883030398371655
obs_noise,1,0.05,yield,2,1.0,-0.4706198275089264,-0.3871823847293854,11819.2041015625,558.1623869994089,554.8729580989097,1.4643749937084178
obs_noise,1,0.05,yield,3,0.5089076161384583,-0.6151338815689087,-0.38856810331344604,9558.93798828125,620.9261932373047,555.4272384643555,1.057117133400928
obs_noise,1,0.05,n_eff,1,-0.8411895632743835,-1.0,-0.16708366572856903,4415.0677490234375,169.67036056518555,466.8334687450548,-0.7022526101694228
obs_noise,1,0.05,n_eff,2,1.0,0.400452584028244,0.2105969935655594,11888.05908203125,212.21816635131836,315.7612054176085,0.827989142433214
obs_noise,1,0.05,n_eff,3,-0.7210587859153748,-1.0,-0.06363373249769211,4872.76611328125,92.04084777832031,425.45349311828613,-0.6519449054793549
obs_noise,1,0.05,water,1,0.6939345002174377,-0.3302322328090668,0.4592931568622589,10263.890380859375,383.11377716064453,216.28274129506917,0.9204975499391661
obs_noise,1,0.05,water,2,1.0,-0.140615314245224,0.2577430009841919,12012.6611328125,349.4552943291055,296.90279483795166,0.7806038356353134
obs_noise,1,0.05,water,3,-0.13551534712314606,-0.678281843662262,0.46587568521499634,7103.6865234375,552.0116539001465,213.64972606885237,1.1737291612422163
obs_noise,1,0.05,balanced,1,0.7199665307998657,-0.3756163716316223,0.25391146540641785,10363.072509765625,414.93210220336914,298.43541006856873,0.6941832256521825
obs_noise,1,0.05,balanced,2,1.0,-0.3973305821418762,0.28204452991485596,11472.408447265625,475.8997173013241,287.1821917360321,0.8798354533909294
obs_noise,1,0.05,balanced,3,-0.44589707255363464,-0.7037416100502014,0.4659717082977295,5921.1322021484375,499.65949630737305,213.6113109588623,0.46383088835053143
obs_noise,2,0.10,yield,1,0.6523541808128357,-0.6744681596755981,-0.5694471597671509,10105.469360351562,776.073800236838,627.7788611199367,1.0584345605098242
obs_noise,2,0.10,yield,2,0.5166730284690857,0.2084856629371643,-0.8280335664749146,9588.524169921875,198.3582534790039,731.2134199142456,0.8104454698665897
obs_noise,2,0.10,yield,3,0.676596999168396,-0.6840395331382751,-0.6329578757286072,10197.83447265625,806.8916252342169,653.1831525534379,1.2118589344703043
obs_noise,2,0.10,n_eff,1,-0.49351969361305237,-0.32759594917297363,-0.706945538520813,5739.68994140625,213.40182495117188,682.7782036176098,-0.05127935556072266
obs_noise,2,0.10,n_eff,2,-0.054238948971033096,0.28255829215049744,-0.5206530094146729,7413.349609375,144.50317164997762,608.261209175029,0.6033452126007167
obs_noise,2,0.10,n_eff,3,0.40182504057884216,-0.2916432321071625,-0.5727447271347046,9150.953369140625,322.9641372219994,629.0978969908149,0.012423185107249213
obs_noise,2,0.10,water,1,0.6073195338249207,-0.5347450971603394,0.24624785780906677,9933.887329101562,533.7873191833496,301.5008575464997,0.7234507684969927
obs_noise,2,0.10,water,2,-0.09853269159793854,-0.6974384784698486,0.5277721285820007,7244.5904541015625,598.6047554016113,188.89115524291992,1.1975795248015675
obs_noise,2,0.10,water,3,-0.7726328372955322,-1.0,0.5565811991691589,4676.2689208984375,631.104248046875,177.36751174926758,1.239940939481496
obs_noise,2,0.10,balanced,1,0.6222501993179321,-0.5110594630241394,-0.557841956615448,9990.773315429688,510.8378287139561,623.1367927838027,0.1330392654991096
obs_noise,2,0.10,balanced,2,-0.13815364241600037,0.09387615323066711,-0.5753604769706726,7093.6346435546875,162.12152099609375,630.144193649292,0.07976730980017704
obs_noise,2,0.10,balanced,3,0.6470873355865479,-0.3185904026031494,-0.5501235127449036,10085.40283203125,370.01983598376796,620.0493937520735,0.2963129963863339
obs_noise,3,0.20,yield,1,0.6924222111701965,-0.8182752132415771,-1.0,10258.128662109375,1411.2175178527832,1120.6844482421875,1.0951168667872468
obs_noise,3,0.20,yield,2,1.0,-0.742967963218689,-1.0,12194.100341796875,1186.0487036258255,996.454355735441,1.4299440981452571
obs_noise,3,0.20,yield,3,0.6806201934814453,-0.7508842349052429,-0.6395469307899475,10213.162841796875,1024.9413522195055,655.8187784664651,1.1824182811303
