episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
91,14555,164,0.9783,0.0,0.0,1.0,0.2172,-0.9485,0.3358,8447.6,4102.9,265.7,600.9,0.003744,0.602914
92,14713,158,0.7719,0.0,0.0,1.0,-0.8008,-1.0,0.1757,4568.8,4225.5,329.7,629.7,0.002386,0.590417
93,14873,160,0.2578,0.4162,0.5206,0.0632,0.9358,-0.9142,-1.0,11185.3,3260.1,1386.4,615.8,0.026001,0.605064
94,15029,156,0.3417,0.4795,0.3543,0.1663,1.0,-0.9341,-1.0,12680.2,4808.9,1809.0,616.5,0.001542,0.595989
95,15187,158,0.1023,0.3566,0.3231,0.3204,1.0,-0.9366,-1.0,11817.5,4656.8,1449.7,514.4,0.001329,0.581797
96,15350,163,0.1994,0.3113,0.6837,0.005,1.0,-0.816,-1.0,11744.3,1595.7,1066.5,850.0,0.001745,
97,15507,157,0.5626,0.6394,0.0647,0.2959,0.8791,-0.9444,-1.0,10969.3,4934.0,1595.3,460.2,0.002606,0.564419
98,15669,162,-0.1751,0.239,0.3744,0.3867,0.8261,-0.9421,-1.0,10767.4,4645.3,1562.8,672.7,0.000809,0.563699
99,15828,159,0.34,0.4853,0.1853,0.3293,1.0,-0.9426,-1.0,11735.6,5115.6,1674.0,547.0,0.004736,
100,15991,163,0.2006,0.4251,0.0661,0.5088,0.9145,-0.9384,-1.0,11104.3,4505.6,1224.9,911.6,0.00072,0.558031
101,16151,160,0.1306,0.3507,0.1946,0.4547,1.0,-0.9262,-1.0,12151.0,4117.1,1125.5,571.9,0.00268,0.566756
102,16318,167,0.4415,0.0019,0.1721,0.826,0.9149,-0.9459,0.0746,11105.8,5134.2,370.2,668.0,0.001751,
103,16477,159,0.6912,0.068,0.1028,0.8291,0.2446,-0.9592,0.1778,8551.8,5246.3,328.9,387.2,0.000832,0.570529
104,16637,160,0.5043,0.5584,0.2779,0.1637,1.0,-0.9356,-1.0,11686.2,4535.2,1935.9,448.9,0.010001,0.542486
105,16803,166,-0.3057,0.2011,0.1997,0.5992,0.3826,-0.9511,-1.0,9077.8,4644.5,831.9,873.3,0.001694,0.556984
106,16970,167,0.0575,0.0,1.0,0.0,0.0654,-0.1322,-1.0,7869.2,226.7,1176.1,352.8,0.014289,
107,17127,157,0.1672,0.3487,0.6114,0.04,0.8492,-0.8878,-1.0,10855.4,2419.1,1207.7,534.7,0.011888,0.555933
108,17290,163,0.6888,0.6502,0.101,0.2488,1.0,-0.9471,-1.0,11647.9,5501.5,1643.7,383.7,0.000395,
109,17456,166,1.2094,1.0,0.0,0.0,0.8072,-0.9493,-1.0,10695.3,5277.4,1420.1,483.2,0.000571,
110,17618,162,-0.0888,0.1791,0.7027,0.1181,0.9672,-0.83,-1.0,11305.2,1663.0,1210.9,559.5,0.000532,
111,17774,156,0.7885,0.0296,0.0767,0.8937,0.6542,-0.9521,0.2035,10112.3,5275.3,318.6,451.9,0.001754,
112,17936,162,0.2836,0.4448,0.2394,0.3158,1.0,-0.9433,-1.0,11990.9,5283.8,1712.4,343.9,0.000587,
113,18091,155,1.0319,0.0,0.0,1.0,0.3247,-0.9549,0.3084,8857.0,4905.0,276.7,464.9,0.001859,0.522681
114,18249,158,-0.4008,0.0941,0.3933,0.5127,0.832,-0.9395,-1.0,10789.9,4455.5,892.0,656.5,0.001025,0.514827
115,18410,161,0.0408,0.2873,0.16,0.5527,0.8937,-0.942,-1.0,11025.0,4752.4,804.2,434.8,0.000474,
116,18568,158,-0.3124,0.1553,0.4027,0.4419,0.8324,-0.9411,-1.0,10791.4,4580.7,1101.3,810.6,0.001644,
117,18733,165,0.9569,0.7719,0.2267,0.0014,1.0,-0.9264,-1.0,12319.5,4186.5,1492.8,590.9,0.004216,0.490072
118,18897,164,-0.335,0.1302,0.3168,0.553,0.8679,-0.9427,-1.0,10926.7,4767.4,980.9,455.8,0.004818,0.500905
119,19055,158,0.9979,0.8476,0.0355,0.1168,0.917,-0.9404,-1.0,11113.6,4657.9,1601.3,405.0,0.000697,0.508048
120,19211,156,0.2829,0.158,0.1768,0.6652,1.0,-0.9332,-0.2631,11641.8,4357.9,505.2,561.9,0.003341,0.470931
121,19373,162,-0.2319,0.077,0.7392,0.1838,0.8577,-0.7664,-1.0,10887.9,1165.1,930.2,735.5,0.003174,0.493649
122,19533,160,-0.2533,0.2188,0.4838,0.2974,0.5568,-0.9372,-1.0,9741.6,3879.9,1396.9,506.5,0.003979,0.492165
123,19687,154,0.0384,0.3124,0.4912,0.1964,1.0,-0.9239,-1.0,12298.8,4040.5,1376.3,275.5,0.002924,0.484232
124,19846,159,0.0114,0.0,1.0,0.0,-0.5732,-0.1551,-1.0,5436.1,160.9,1129.0,364.9,0.00032,
125,20008,162,0.7903,0.7095,0.0544,0.2361,1.0,-0.9417,-1.0,11871.4,5089.8,1535.3,685.4,0.001358,
126,20165,157,0.6278,0.6228,0.0274,0.3497,1.0,-0.9373,-1.0,11690.7,4661.4,1217.5,470.7,0.001969,0.488232
127,20321,156,1.0502,0.0,0.0,1.0,0.6176,-0.932,0.3521,9973.2,3666.0,259.2,585.5,0.001981,0.467903
128,20481,160,-0.3683,0.0099,0.7132,0.2769,0.4695,-0.8452,-1.0,9408.7,1519.3,901.3,309.3,0.000335,0.466996
129,20642,161,0.4613,0.524,0.439,0.037,1.0,-0.9261,-1.0,12764.9,4319.1,1546.7,580.8,0.006135,
130,20805,163,0.0542,0.3087,0.6386,0.0528,0.8871,-0.8868,-1.0,10999.8,2429.3,1336.4,835.9,0.011457,0.475227
131,20969,164,0.9673,0.0,0.0,1.0,0.6093,-0.9607,0.205,9941.4,6319.6,318.0,466.2,0.004106,0.459543
132,21137,168,-0.0712,0.3462,0.2416,0.4122,0.6011,-0.9526,-1.0,9910.3,5231.2,1394.5,560.4,0.003042,0.459264
133,21298,161,-0.28,0.1452,0.3995,0.4553,1.0,-0.9198,-1.0,12798.8,3989.0,1090.3,354.5,0.002915,
134,21462,164,0.4175,0.5145,0.0615,0.424,1.0,-0.9406,-1.0,12135.9,5104.1,1256.7,632.1,0.002651,
135,21619,157,-0.3566,0.0029,0.4233,0.5738,1.0,-0.9183,-0.7033,12509.4,3827.9,681.3,558.2,0.000258,0.48391
136,21772,153,0.6688,0.1335,0.0869,0.7797,-0.5142,-0.9709,0.2778,5661.0,4864.3,288.9,602.0,0.004046,
137,21931,159,0.8271,0.0,0.0,1.0,0.583,-0.9427,0.2977,9841.3,4292.2,280.9,1253.6,0.004909,0.476269
138,22091,160,0.3182,0.5858,0.2907,0.1234,0.5579,-0.9441,-1.0,9745.6,4358.1,1362.6,478.9,0.00323,0.464103
139,22252,161,-0.0175,0.3014,0.319,0.3796,0.9125,-0.9475,-1.0,11096.7,5279.4,1315.9,578.5,0.000258,
140,22409,157,1.3047,0.9598,0.0024,0.0378,1.0,-0.9286,-1.0,12567.1,4399.6,1554.7,569.8,0.000486,0.451701
