episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
135,21619,157,0.7202,0.6416,0.3387,0.0197,1.0,-0.9282,-1.0,12485.0,4344.8,1094.2,558.2,0.003919,0.263031
136,21772,153,0.9259,0.106,0.0027,0.8913,-0.2351,-0.9698,0.3679,6724.4,5563.1,252.8,602.0,0.005735,
137,21931,159,-0.2152,0.0733,0.8772,0.0495,-0.2342,-0.3347,-1.0,6727.7,252.8,1591.5,1253.6,0.000627,0.239037
138,22091,160,0.1957,0.4921,0.3702,0.1377,0.5558,-0.9369,-1.0,9737.8,3859.8,1014.9,478.9,0.000917,0.243803
139,22252,161,0.4289,0.5152,0.0261,0.4587,0.9097,-0.9408,-1.0,11086.1,4679.3,908.3,578.5,0.002763,
140,22409,157,-0.1831,0.1552,0.5541,0.2907,1.0,-0.8834,-1.0,12227.2,2621.7,1204.3,569.8,0.00082,0.235406
141,22571,162,0.9801,0.7531,0.1024,0.1445,1.0,-0.9441,-1.0,12389.7,5542.1,1008.2,608.1,0.00105,0.275493
142,22731,160,-0.1194,0.2572,0.3787,0.3641,0.7004,-0.9421,-1.0,10288.6,4438.7,1081.0,502.2,0.004604,0.239225
143,22886,155,-0.0758,0.3119,0.2216,0.4665,0.3443,-0.9505,-0.9081,8931.6,4513.8,763.2,318.0,0.017027,
144,23045,159,0.0472,0.2682,0.4986,0.2332,1.0,-0.8954,-1.0,11916.3,2848.4,1271.9,332.1,0.001584,0.240582
145,23203,158,-0.0513,0.2461,0.4485,0.3054,1.0,-0.9169,-1.0,12160.7,3656.7,1109.9,790.4,0.004268,0.246699
146,23361,158,0.0824,0.3212,0.1838,0.495,0.9757,-0.9291,-1.0,11337.4,4000.4,924.3,703.1,0.010257,0.263977
147,23519,158,-0.0526,0.2845,0.5421,0.1734,0.5948,-0.8998,-1.0,9886.2,2467.2,1176.8,405.6,0.000435,0.235892
148,23677,158,-0.0592,0.2583,0.6093,0.1324,0.661,-0.8611,-1.0,10138.4,1825.3,1060.5,745.6,0.000405,0.22545
