====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 8)
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w
  ────────────────────────────────────────────────────────────────────────
  Collecting first episodes... (first log line appears at ep 10)

    1680   268,007   +0.747   -0.988   -1.000    10465  [0.53,0.17,0.30]  ETA 96.2m
    1690   269,606   +1.000   -0.945   -1.000    12138  [0.02,0.58,0.40]  ETA 96.1m
    1700   271,195   +0.878   -0.978   -1.000    10966  [0.25,0.37,0.38]  ETA 95.8m
    1710   272,802   +0.767   -0.991   -1.000    10544  [0.51,0.02,0.47]  ETA 95.7m
    1720   274,384   +0.951   -0.799   -1.000    11243  [0.15,0.79,0.06]  ETA 95.5m
    1730   275,992   +1.000   -0.990   -1.000    12238  [1.00,0.00,0.00]  ETA 95.2m
    1740   277,597   +1.000   -0.982   -1.000    11676  [0.57,0.29,0.14]  ETA 95.0m
    1750   279,181   +0.774   -0.949   -1.000    10568  [0.30,0.59,0.10]  ETA 94.8m
    1760   280,797   +0.686   -0.985   -1.000    10233  [0.47,0.28,0.25]  ETA 94.6m
    1770   282,376   +0.780   -0.991   -1.000    10590  [1.00,0.00,0.00]  ETA 94.3m
    1780   283,969   -0.115   -0.494   -1.000     7183  [0.03,0.90,0.07]  ETA 94.1m
    1790   285,576   +1.000   -0.986   -1.000    12482  [0.38,0.19,0.43]  ETA 93.9m
    1800   287,166   +1.000   -0.986   -1.000    12231  [0.48,0.15,0.38]  ETA 93.7m
    1810   288,765   +0.514   -0.991   -0.222     9578  [0.03,0.10,0.87]  ETA 93.6m
    1820   290,382   +0.791   -0.991   -1.000    10635  [0.73,0.05,0.22]  ETA 93.4m
    1830   292,016   +1.000   -0.915   -1.000    11739  [0.48,0.48,0.04]  ETA 93.1m
    1840   293,599   +0.439   -0.992   -0.177     9293  [0.06,0.02,0.92]  ETA 92.9m
    1850   295,191   +0.504   -0.992   -0.185     9541  [0.10,0.01,0.90]  ETA 92.7m
    1860   296,786   +0.985   -0.975   -1.000    11375  [0.49,0.40,0.11]  ETA 92.5m
    1870   298,399   +0.552   -0.989   -1.000     9722  [0.28,0.17,0.55]  ETA 92.3m
    1880   300,008   -0.370   -0.994   +0.079     6209  [0.17,0.11,0.72]  ETA 92.1m
    1890   301,598   +1.000   -0.986   -0.930    12018  [0.38,0.16,0.45]  ETA 91.9m
    1900   303,185   +0.784   -0.987   -1.000    10607  [0.13,0.19,0.67]  ETA 91.7m
    1910   304,787   +0.760   -0.992   -0.200    10515  [0.00,0.00,1.00]  ETA 91.5m
