timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
20969,131,164,2.145148,1.0,-0.342918,0.00195,0.0,0.0019394,-0.204424,-1.0,-0.275735,0.260337,0.483223,3161.7,62.7,73.7,466.2,100.0,1.0
21137,132,168,-1.217805,0.279977,-0.384743,0.003612,0.0,0.00145969,-0.309135,-1.0,-0.415623,0.077737,0.508889,2845.9,66.0,78.0,560.4,100.0,1.0
21298,133,161,0.29814,0.2,0.676465,0.032185,0.0,0.00252047,-0.390871,-1.0,-0.480419,-0.081718,0.503964,2479.7,67.5,52.3,354.5,100.0,1.0
21462,134,164,-0.626146,0.586681,-0.347258,0.000246,0.0,0.00183811,-0.334394,-1.0,-0.660338,0.053668,0.512845,2873.3,68.2,59.4,632.1,100.0,1.0
21619,135,157,-1.895878,0.484901,0.760343,0.001642,0.0,0.00194214,-0.40508,-1.0,-0.443037,-0.124773,0.482167,2231.0,63.7,60.1,558.2,100.0,1.0
21772,136,153,-3.37424,0.45937,0.712333,0.001544,6.9e-05,0.00188019,-0.466055,-1.0,-1.0,-0.232626,0.39897,1605.4,52.3,54.8,602.0,100.0,1.0
21931,137,159,2.143674,0.2,-0.337741,0.003198,0.062939,0.00167968,-0.153652,-1.0,-0.457849,0.336362,0.39576,2748.3,51.4,59.8,1253.6,100.0,1.0
22091,138,160,8.3688,0.418319,-0.262181,0.01325,0.0,0.00214612,0.098171,-0.975895,0.196195,0.777538,0.420915,3901.8,54.9,61.3,478.9,100.0,1.0
22252,139,161,1.874889,0.2,-0.361916,0.001715,0.0,0.00174298,-0.181508,-1.0,0.193529,0.268855,0.502447,3373.8,66.5,61.9,578.5,100.0,1.0
22409,140,157,0.978788,0.2,-0.409144,0.0,0.0,0.00168092,-0.212046,-1.0,-0.648026,0.237535,0.393648,2621.1,53.0,38.3,569.8,100.0,1.0
22571,141,162,2.432465,0.2,-0.32881,0.005828,0.648678,0.00197438,-0.191924,-1.0,-0.402616,0.274007,0.435186,2986.6,58.6,41.6,608.1,100.0,1.0
22731,142,160,1.716773,0.081913,-0.427432,0.003378,0.0,0.00184622,-0.204974,-1.0,-0.70073,0.244237,0.368225,2408.2,48.4,49.2,502.2,100.0,1.0
22886,143,155,-0.591655,0.2,0.6,0.001388,0.342434,0.00319857,-0.545365,-1.0,-0.91735,-0.406986,0.384018,1208.8,51.0,45.5,318.0,100.0,1.0
23045,144,159,-0.227829,0.2,0.690571,0.016647,0.013882,0.00246371,-0.404193,-1.0,-0.563161,-0.144668,0.414805,1824.2,53.3,69.3,332.1,100.0,1.0
23203,145,158,4.06752,0.229386,-0.323664,0.003619,4.3e-05,0.00161897,-0.040091,-1.0,-0.478099,0.573261,0.411268,3454.4,54.9,45.0,790.4,100.0,1.0
23361,146,158,2.785282,0.2,-0.304736,0.002553,0.129014,0.00158545,-0.102938,-1.0,-0.31523,0.457565,0.463837,3641.9,62.5,44.3,703.1,100.0,1.0
23519,147,158,3.736333,0.495708,-0.321107,0.0,0.0,0.00207048,-0.12961,-1.0,-0.380615,0.390684,0.423685,2994.6,53.8,78.1,405.6,100.0,1.0
23677,148,158,0.36018,0.679348,-0.343768,0.001815,0.000114,0.00183254,-0.270337,-1.0,-0.56349,0.144205,0.457061,2783.8,60.8,52.2,745.6,100.0,1.0
23839,149,162,-2.156432,1.0,-0.48766,0.0,0.0,0.00203064,-0.44286,-1.0,-0.645824,-0.153967,0.534344,2427.0,71.7,53.9,398.2,100.0,1.0
23997,150,158,-2.209053,0.585349,0.696349,0.0,9e-06,0.00191069,-0.418414,-1.0,-0.667178,-0.148375,0.443471,1971.6,57.9,63.9,523.8,100.0,1.0
