==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen.csv
  Metrics log  → /workspace/training_metrics_nitrogen.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
    128     20481   160   -2.494    1963     62     72  -0.5896  -1.0000  -0.7156  -0.2078
    129     20642   161   +2.687    4147     64     56  -0.1418  -0.9116  +0.5532  +0.6232
    130     20805   163   -5.072    1247     70     62  -0.7481  -1.0000  -1.0000  -0.5522
    131     20969   164   -1.802    3184     68     75  -0.4278  -1.0000  -0.3198  +0.1677
    132     21137   168   -4.203    2959     72     80  -0.4902  -1.0000  -0.4089  +0.0308
    133     21298   161   -2.635    2573     76     50  -0.5588  -1.0000  -0.4370  -0.1512
    134     21462   164   -3.943    3016     76     59  -0.5287  -1.0000  -0.6387  -0.0046
    135     21619   157   -4.610    2317     70     60  -0.5608  -1.0000  -0.4229  -0.1787
    136     21772   153   -4.844    1697     60     54  -0.6400  -1.0000  -1.0000  -0.2863
    137     21931   159   -2.042    2901     57     64  -0.3850  -1.0000  -0.4349  +0.2739
    138     22091   160   +3.325    4129     61     63  -0.1467  -0.9164  +0.2116  +0.7011
    139     22252   161   -1.116    3650     73     64  -0.3483  -1.0000  +0.2703  +0.2433
    140     22409   157   -3.255    2759     62     37  -0.4629  -1.0000  -0.6422  +0.1198
    141     22571   162   -1.632    3137     67     39  -0.4263  -1.0000  -0.3519  +0.1651
    142     22731   160   -2.719    2485     56     47  -0.4622  -1.0000  -0.6916  +0.1160
    143     22886   155   -1.336    1167     60     42  -0.7109  -1.0000  -0.9416  -0.5097
    144     23045   159   -2.907    1710     61     67  -0.6149  -1.0000  -0.6461  -0.3038
    145     23203   158   -1.000    3735     63     45  -0.3176  -1.0000  -0.4361  +0.4843
    146     23361   158   -0.821    3994     71     43  -0.3177  -0.9517  -0.2306  +0.4082
    147     23519   158   -0.779    3153     59     81  -0.3637  -1.0000  -0.3704  +0.3313
    148     23677   158   -3.090    3052     69     52  -0.4659  -1.0000  -0.5082  +0.1076
    149     23839   162   -3.889    2607     79     52  -0.5820  -1.0000  -0.5316  -0.1765
    150     23997   158   -4.433    2216     64     65  -0.5495  -1.0000  -0.5579  -0.1326
    151     24157   160   -0.420    3554     66     37  -0.3477  -1.0000  -0.2037  +0.3423
    152     24323   166   -0.721    3701     65     47  -0.3405  -1.0000  -0.4413  +0.4284
    153     24484   161   +0.058    3510     66     46  -0.3912  -1.0000  -0.6322  +0.3408
    154     24645   161   -3.398    1990     58     57  -0.5456  -1.0000  -0.5986  -0.1377
    155     24805   160   -3.339    2326     53     66  -0.4938  -1.0000  -0.9384  +0.0928
    156     24973   168   -2.372    3060     59     60  -0.3843  -1.0000  -0.4962  +0.2996
    157     25130   157   -1.842     679     62     53  -0.7970  -1.0000  -1.0000  -0.7257
    158     25292   162   +4.537    4641     68     49  -0.0924  -0.7819  +0.3096  +0.7166
    159     25457   165   -4.317    1900     54     82  -0.5411  -1.0000  -0.6608  -0.1144
    160     25621   164   +2.920    4172     63     50  -0.1617  -0.9051  +0.1758  +0.6613
    161     25782   161   -1.459    2455     53     64  -0.4173  -1.0000  -0.4116  +0.1590
    162     25940   158   -2.793    3024     64     40  -0.4203  -1.0000  -0.4053  +0.1842
    163     26094   154   -4.015    1319     62     58  -0.7081  -1.0000  -1.0000  -0.4693
    164     26256   162   -2.844    3774     78     36  -0.4207  -1.0000  -0.3064  +0.2101
    165     26408   152   -3.109    1712     37     93  -0.4606  -1.0000  -1.0000  +0.1505
    166     26564   156   -0.237    4231     69     33  -0.2518  -0.8894  -0.2512  +0.5298
    167     26719   155   +8.668    5203     52     99  +0.1318  -0.6345  +0.8900  +1.0000
    168     26885   166   -5.095    1991     63     66  -0.5977  -1.0000  -0.7708  -0.2121
