timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
12310,77,165,-5.857333,0.568938,-0.506941,0.0,0.0,0.00117277,-0.544186,-1.0,-0.982443,-0.319967,0.285576,1757.0,64.6,41.8,770.9,100.0,1.0
12475,78,165,-1.342062,0.229884,-0.319712,0.0,0.04239,0.00149138,-0.309053,-0.991118,-0.549411,0.392148,0.354221,3843.8,69.0,53.4,476.6,100.0,1.0
12637,79,162,6.890929,0.857295,-0.277819,0.0,0.0,0.00146699,0.085033,-0.718604,0.734975,0.974133,0.288725,4882.1,61.8,42.8,522.9,100.0,1.0
12791,80,154,-4.724436,0.385729,0.603423,0.0,0.0,0.00161759,-0.599473,-1.0,-1.0,-0.39838,0.371312,1344.5,55.9,58.1,338.6,100.0,1.0
12959,81,168,-0.129399,0.520363,-0.450466,0.0,2.9e-05,0.00166553,-0.285719,-1.0,0.489011,0.211872,0.423376,3698.7,76.3,64.6,544.1,100.0,1.0
13121,82,162,3.458085,0.262847,-0.155051,0.0,6e-06,0.00116785,-0.027294,-0.639429,0.755292,0.758274,0.486993,5183.8,73.7,76.2,701.4,100.0,1.0
13278,83,157,-0.293321,1.0,0.6,0.004903,0.0,0.00291334,-0.641702,-1.0,-0.929909,-0.592572,0.345541,1046.8,64.2,52.5,249.4,100.0,1.0
13433,84,155,-5.418293,0.2,-0.500747,0.002844,0.142438,0.00096344,-0.406263,-1.0,-0.482801,0.171502,0.455524,2574.8,54.9,73.1,664.9,100.0,1.0
13594,85,161,1.439184,0.389092,-0.155105,0.000254,0.000134,0.0012424,-0.131452,-0.817542,0.091886,0.648976,0.374135,4505.2,68.3,57.0,770.1,100.0,1.0
13755,86,161,0.9172,0.2,-0.096793,0.007288,0.006725,0.00114934,-0.141221,-0.944709,0.174503,0.710506,0.387558,4020.7,58.8,60.6,941.7,100.0,1.0
13912,87,157,-4.500484,0.986663,-0.36891,0.008912,0.0,0.0014469,-0.43934,-1.0,-0.887146,0.120728,0.390983,2364.0,52.7,62.0,251.6,100.0,1.0
14074,88,162,-2.435023,0.458652,0.759174,0.002231,0.0,0.00217837,-0.46913,-1.0,-0.457848,-0.18268,0.33869,2140.0,65.5,51.1,394.2,100.0,1.0
14235,89,161,-3.092254,0.959216,-0.422472,0.0,0.0,0.0011925,-0.337481,-1.0,-0.084773,0.156307,0.359702,2559.1,55.3,56.2,389.1,100.0,1.0
14391,90,156,-4.864017,0.279458,-0.270727,0.0,0.0,0.00106289,-0.394815,-1.0,-0.397432,0.110612,0.395016,3321.4,74.8,59.8,715.6,100.0,1.0
14555,91,164,-4.46992,1.0,-0.393242,0.00889,0.0,0.00142367,-0.444168,-1.0,-0.826362,0.043413,0.355875,2857.2,68.5,53.7,600.9,100.0,1.0
14713,92,158,-2.835496,0.697042,0.717546,0.006156,0.0,0.0021569,-0.513604,-1.0,-0.199358,-0.321736,0.420422,2003.3,73.8,64.4,629.7,100.0,1.0
14873,93,160,3.709517,0.2,-0.211386,0.000511,0.01675,0.00130262,-0.0331,-0.820175,0.389415,0.924397,0.412332,4495.1,58.4,65.0,615.8,100.0,1.0
15029,94,156,5.017617,0.414527,-0.10435,0.007286,0.0,0.00156586,-0.007919,-0.640646,-0.078171,0.92197,0.332947,5179.1,67.4,49.8,616.5,100.0,1.0
15187,95,158,1.172539,0.529171,-0.206491,0.0,0.0,0.00102473,-0.106468,-0.931535,0.315641,0.753444,0.374804,4070.9,58.0,58.5,514.4,100.0,1.0
15350,96,163,1.687189,0.2,-0.245997,0.0,0.045108,0.00105051,-0.091865,-0.755711,0.054594,0.718651,0.354262,4740.7,69.0,53.4,850.0,100.0,1.0
15507,97,157,6.110417,0.35009,-0.111191,0.020898,3e-06,0.00150356,0.049338,-0.418486,0.156815,1.0,0.462062,6025.6,73.6,71.8,460.2,100.0,1.0
15669,98,162,-2.910531,0.303963,-0.4022,0.002921,0.01368,0.00139249,-0.361945,-1.0,-0.502907,0.267853,0.405744,3186.3,62.8,63.3,672.7,100.0,1.0
15828,99,159,0.634291,0.807491,-0.277355,0.0,0.0,0.00111392,-0.147093,-0.79365,0.113573,0.571839,0.37597,4596.2,73.1,56.7,547.0,100.0,1.0
15991,100,163,-2.193033,0.439017,-0.329504,0.007047,0.0,0.00116996,-0.29236,-1.0,-0.180248,0.337788,0.35906,3058.6,57.2,55.8,911.6,100.0,1.0
16151,101,160,-4.120567,0.2,-0.344881,0.00101,0.092672,0.00126253,-0.393455,-1.0,-0.445506,0.072443,0.344678,2999.7,69.9,51.6,571.9,100.0,1.0
16318,102,167,-2.688553,0.2,-0.406152,0.009711,0.174866,0.00129074,-0.340059,-1.0,-0.547189,0.388309,0.433808,3642.6,65.6,67.9,668.0,100.0,1.0
16477,103,159,-4.480867,1.0,0.72514,0.0,0.0,0.00163506,-0.568796,-1.0,-1.0,-0.346653,0.328001,1925.1,73.7,48.1,387.2,100.0,1.0
16637,104,160,8.722164,0.628042,-0.08891,0.0,0.0,0.00156006,0.15532,-0.2834,0.894953,1.0,0.466642,6540.2,59.4,74.5,448.9,100.0,1.0
16803,105,166,-1.879145,0.38,-0.204731,0.011887,3e-05,0.00106449,-0.263474,-0.964731,-0.08037,0.40737,0.389901,3944.4,70.1,59.5,873.3,100.0,1.0
16970,106,167,8.929824,0.645563,0.004538,0.010775,0.0,0.00147823,0.166339,-0.333709,0.683453,1.0,0.338797,6348.6,70.8,50.4,352.8,100.0,1.0
17127,107,157,-5.15791,0.838233,0.651787,0.001042,0.0,0.00144811,-0.548995,-1.0,-0.962798,-0.169858,0.433594,1847.4,55.6,69.2,534.7,100.0,1.0
17290,108,163,6.435812,0.553689,-0.241977,0.002857,0.0,0.00131531,0.083125,-0.633621,0.758411,0.994612,0.379126,5205.9,65.2,58.3,383.7,100.0,1.0
17456,109,166,-4.584882,0.722799,-0.32979,0.004528,0.0,0.00136027,-0.437335,-1.0,-0.902084,0.189397,0.439845,2368.5,49.8,71.0,483.2,100.0,1.0
17618,110,162,-3.862249,0.294358,0.614575,0.017721,0.043215,0.00176135,-0.592752,-1.0,-1.0,-0.350527,0.393127,1867.7,71.9,59.9,559.5,100.0,1.0
17774,111,156,2.828919,0.528206,-0.214903,0.015151,0.0,0.00143947,-0.09352,-0.968079,-0.24377,0.962609,0.33116,3931.6,50.1,51.8,451.9,100.0,1.0
17936,112,162,-2.41573,1.0,-0.335979,0.0,0.0,0.00146396,-0.348372,-1.0,-0.584002,0.392273,0.450438,2831.3,50.8,72.8,343.9,100.0,1.0
18091,113,155,4.317965,0.457226,-0.142584,0.00754,0.0,0.00123851,0.007052,-0.838252,0.941237,0.951805,0.465859,4426.3,56.7,74.7,464.9,100.0,1.0
18249,114,158,-4.588674,0.447218,-0.43742,0.002775,0.0,0.00116126,-0.394554,-1.0,-0.311429,0.082209,0.394495,2600.1,60.1,61.7,656.5,100.0,1.0
18410,115,161,-0.821163,0.2,0.694406,0.002429,0.0,0.00222317,-0.396559,-1.0,-0.168035,0.041922,0.406664,2861.0,68.6,62.7,434.8,100.0,1.0
18568,116,158,-6.102736,0.2,-0.462531,0.001137,0.0,0.00112942,-0.535527,-1.0,-0.97102,-0.283878,0.295034,1893.3,66.1,43.3,810.6,100.0,1.0
18733,117,165,5.822429,0.50165,-0.169626,0.013375,0.0,0.00140447,0.036537,-0.628151,0.82067,0.804461,0.370944,5226.7,72.4,55.9,590.9,100.0,1.0
18897,118,164,-4.492744,0.631615,0.62612,0.015885,0.0,0.00156325,-0.617993,-1.0,-1.0,-0.493715,0.342509,1147.3,56.7,52.9,455.8,100.0,1.0
19055,119,158,-2.638,0.982767,0.637374,0.0,0.0,0.00217214,-0.670708,-1.0,-1.0,-0.677607,0.335503,959.8,74.4,49.4,405.0,100.0,1.0
19211,120,156,1.520629,0.348965,-0.208313,0.0,0.0,0.00141397,-0.149975,-0.878277,-0.261628,0.706428,0.331919,4273.8,62.6,50.3,561.9,100.0,1.0
19373,121,162,5.099996,0.453202,-0.136442,0.003101,0.0,0.00145847,-0.000595,-0.558578,0.202116,0.818572,0.362096,5491.8,75.5,53.9,735.5,100.0,1.0
19533,122,160,-2.349186,0.642602,-0.346428,0.0,0.0,0.00112231,-0.287621,-1.0,-0.060005,0.340932,0.382573,3282.9,61.2,59.4,506.5,100.0,1.0
19687,123,154,-3.134628,0.337772,0.68935,0.00294,5.7e-05,0.00189067,-0.435882,-1.0,-0.42582,-0.012299,0.398887,2367.8,59.9,62.5,275.5,100.0,1.0
19846,124,159,-2.222774,1.0,-0.500788,0.003819,0.0,0.00133594,-0.314507,-1.0,-0.16258,0.175834,0.288568,2891.2,61.5,42.8,364.9,100.0,1.0
20008,125,162,-5.949737,1.0,-0.363216,0.020088,0.0,0.00115523,-0.505078,-1.0,-0.569183,-0.093928,0.48566,2124.6,58.6,77.9,685.4,100.0,1.0
20165,126,157,-5.422925,0.2,-0.37501,0.011555,0.0,0.00133694,-0.490208,-1.0,-0.911434,-0.042508,0.389462,2673.5,69.8,59.5,470.7,100.0,1.0
20321,127,156,7.287804,0.338247,-0.097912,0.000291,0.000149,0.00144953,0.109462,-0.506797,0.637414,1.0,0.364515,5689.1,59.3,56.5,585.5,100.0,1.0
20481,128,160,-2.770739,0.520969,0.673771,0.001738,0.0,0.00209777,-0.555178,-1.0,-0.748553,-0.257683,0.437193,1931.1,65.0,68.5,309.3,100.0,1.0
20642,129,161,1.661996,0.2,-0.312593,0.012217,0.05066,0.00115459,-0.108995,-0.874195,0.603931,0.55786,0.337707,4289.3,68.8,50.5,580.8,100.0,1.0
20805,130,163,-5.061988,0.519298,0.653738,0.006098,0.0,0.00141081,-0.65297,-1.0,-1.0,-0.569923,0.377123,1304.8,75.8,56.5,835.9,100.0,1.0
20969,131,164,-4.337846,1.0,-0.356344,0.002124,0.0,0.00123704,-0.402437,-1.0,-0.301058,0.104571,0.439152,3250.4,73.6,67.8,466.2,100.0,1.0
21137,132,168,-6.219445,0.35624,-0.372323,0.003914,0.0,0.00092431,-0.441584,-1.0,-0.327539,0.007526,0.460251,3184.4,79.0,70.8,560.4,100.0,1.0
21298,133,161,-2.702148,0.2,0.681371,0.031718,0.0,0.00210041,-0.473185,-1.0,-0.445698,-0.216854,0.324455,2529.9,80.8,46.6,354.5,100.0,1.0
21462,134,164,-5.477521,0.569129,-0.358748,0.000446,4e-06,0.00123405,-0.455028,-1.0,-0.634765,-0.045223,0.365671,3060.7,80.1,53.9,632.1,100.0,1.0
21619,135,157,-5.393764,0.500653,0.6698,0.001951,0.0,0.00137143,-0.49892,-1.0,-0.447096,-0.252235,0.367256,2256.8,75.5,54.8,558.2,100.0,1.0
21772,136,153,-5.320847,0.497215,0.664644,0.001831,6.6e-05,0.00142938,-0.555632,-1.0,-1.0,-0.306141,0.325113,1757.4,63.3,49.0,602.0,100.0,1.0
21931,137,159,-3.686749,0.2,-0.326851,0.003949,0.065471,0.00109346,-0.343702,-1.0,-0.400933,0.240872,0.359628,3069.3,61.8,55.3,1253.6,100.0,1.0
22091,138,160,2.791292,0.44776,-0.223529,0.013676,0.0,0.00143847,-0.101353,-0.843674,0.341144,0.678913,0.366349,4405.6,65.6,56.0,478.9,100.0,1.0
