scenario,scenario_label,level_idx,level_label,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
stuck_soil,Stuck Sensor (sw_mean),1,Day 120,n_eff,-0.4623330533504486,-0.7280424237251282,0.9998351335525513,5163.340972900391,317.2,0.06593589782714844
stuck_soil,Stuck Sensor (sw_mean),1,Day 120,water,-0.7042452096939087,-0.9965943098068237,0.9960761070251465,4330.191680908203,16166.235205078125,1.569565200805664
stuck_soil,Stuck Sensor (sw_mean),1,Day 120,balanced,-0.5809999704360962,-0.9948394894599915,0.9984291791915894,4560.339996337891,14044.443908691406,0.6283210754394531
stuck_soil,Stuck Sensor (sw_mean),2,Day 90,yield,-0.5911436676979065,-0.9922198057174683,0.9947111010551453,5015.8680419921875,14886.279667663573,2.1155723571777343
stuck_soil,Stuck Sensor (sw_mean),2,Day 90,n_eff,-0.8777672052383423,-0.9064247012138367,0.9998331069946289,3263.744598388672,321.2,0.06675224304199219
stuck_soil,Stuck Sensor (sw_mean),2,Day 90,water,-0.6852615475654602,-0.9948711395263672,0.995882511138916,4604.080902099609,16979.98264465332,1.6469852447509765
stuck_soil,Stuck Sensor (sw_mean),2,Day 90,balanced,-0.7880193591117859,-0.9972580075263977,0.9984038472175598,3491.3719482421875,14275.555010986329,0.6384712219238281
stuck_soil,Stuck Sensor (sw_mean),3,Day 60,yield,-0.2123073786497116,-0.9916166067123413,0.9946587681770325,6381.321929931641,15036.331703186035,2.13647575378418
stuck_soil,Stuck Sensor (sw_mean),3,Day 60,n_eff,-0.7727469205856323,-0.8766792416572571,0.9998334646224976,4201.3753662109375,320.4,0.06658897399902344
stuck_soil,Stuck Sensor (sw_mean),3,Day 60,water,-0.5551572442054749,-0.9952775239944458,0.9960165023803711,4437.354080200195,16416.62365875244,1.5933837890625
stuck_soil,Stuck Sensor (sw_mean),3,Day 60,balanced,-0.8208217620849609,-0.9978386163711548,0.9984331130981445,3651.4049072265625,14008.888354492188,0.6267547607421875
stuck_soil,Stuck Sensor (sw_mean),4,Day 30,yield,-0.6877211928367615,-0.9956974983215332,0.994652271270752,4072.0658416748047,15055.087455749512,2.1390872955322267
stuck_soil,Stuck Sensor (sw_mean),4,Day 30,n_eff,-0.6602078676223755,-0.7832019925117493,0.9998339414596558,4050.14892578125,319.6,0.06642570495605468
stuck_soil,Stuck Sensor (sw_mean),4,Day 30,water,-0.4773906171321869,-0.9936008453369141,0.9959619641304016,5228.209655761719,16646.142172241212,1.6152217864990235
stuck_soil,Stuck Sensor (sw_mean),4,Day 30,balanced,-0.8262044787406921,-0.9975724220275879,0.998409628868103,3447.22314453125,14222.2216796875,0.6361248016357421
stuck_soil,Stuck Sensor (sw_mean),5,Day 10,yield,-0.766282320022583,-0.9976435899734497,0.9946980476379395,4059.7716064453125,14923.797897338867,2.1207958221435548
stuck_soil,Stuck Sensor (sw_mean),5,Day 10,n_eff,-0.7860685586929321,-0.8887451887130737,0.9998334646224976,3491.6509704589844,320.4,0.06658897399902344
stuck_soil,Stuck Sensor (sw_mean),5,Day 10,water,-0.8560040593147278,-0.9982110261917114,0.9959023594856262,3152.1072998046875,16896.524723815917,1.639043426513672
stuck_soil,Stuck Sensor (sw_mean),5,Day 10,balanced,-0.4676460325717926,-0.9921461343765259,0.9984409213066101,5258.7877197265625,13937.77724609375,0.6236316680908203
bias_soil,Soil Bias (offset),0,0,yield,-0.6871675252914429,-0.9959560632705688,0.9946848750114441,4295.216400146484,14961.302682495118,2.1260250091552733
bias_soil,Soil Bias (offset),0,0,n_eff,-0.9437901377677917,-1.0,0.9998547434806824,2569.8158111572266,278.8,0.058098983764648435
bias_soil,Soil Bias (offset),0,0,water,-0.8467466235160828,-0.9982226490974426,0.9960016012191772,3610.3523864746094,16479.213455200195,1.5993412017822266
bias_soil,Soil Bias (offset),0,0,balanced,-0.8212097883224487,-0.9977947473526001,0.9984272718429565,3621.518341064453,14062.221685791015,0.6291007995605469
bias_soil,Soil Bias (offset),1,-0.20,yield,-0.7832223773002625,-0.9973163604736328,0.9947031140327454,3212.571563720703,14904.948486328125,2.118755340576172
bias_soil,Soil Bias (offset),1,-0.20,n_eff,-0.920122504234314,-0.9165257215499878,0.9998354911804199,2761.2062072753906,316.4,0.06578598022460938
bias_soil,Soil Bias (offset),1,-0.20,water,-0.7248008251190186,-0.9963411092758179,0.9959260821342468,4272.124664306641,16792.103045654298,1.6295822143554688
