episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
212,33913,clean,0,1,0.8643,-0.9027,-1.0,163,0.001185
213,34075,clean,0,1,0.8099,-0.4802,-1.0,162,0.00155
214,34231,clean,0,1,-0.5607,-0.9763,0.3469,156,0.002446
215,34388,clean,0,1,0.8372,-0.936,-1.0,157,0.001217
216,34549,clean,0,1,0.8134,-0.9464,-0.5871,161,0.00157
217,34710,clean,0,1,0.6666,-0.9576,-0.1706,161,0.00207
218,34874,clean,0,1,0.7869,-0.9536,-1.0,164,0.002328
219,35024,clean,0,1,1.0,-0.9051,-1.0,150,0.003782
220,35187,clean,0,1,0.9565,-0.9452,0.245,163,0.001995
221,35343,clean,0,1,0.9718,-0.9344,-1.0,156,0.003287
222,35505,clean,0,1,0.6076,-0.9488,-1.0,162,0.00302
223,35663,clean,0,1,0.9928,-0.9421,-1.0,158,0.002268
224,35823,clean,0,1,-0.275,-0.2377,-1.0,160,0.002193
225,35981,clean,0,1,0.0674,-0.964,-0.6442,158,0.001583
226,36140,clean,0,1,1.0,-0.9178,-1.0,159,0.001566
227,36299,clean,0,1,1.0,-0.9106,-1.0,159,0.00105
228,36463,clean,0,1,-0.1423,-0.1963,-1.0,164,0.002031
229,36620,clean,0,1,0.7885,-0.9483,-1.0,157,0.001969
230,36774,clean,0,1,0.9873,-0.9439,-1.0,154,0.001683
231,36935,clean,0,1,0.935,-0.9222,-1.0,161,0.001312
232,37095,clean,0,1,0.8645,-0.8136,-1.0,160,0.002869
233,37248,clean,0,1,0.3417,-0.9172,-1.0,153,0.002689
234,37408,clean,0,1,0.7469,-0.9084,-1.0,160,0.002457
235,37573,clean,0,1,0.9428,-0.924,-1.0,165,0.001323
236,37735,clean,0,1,1.0,-0.9428,-1.0,162,0.002314
237,37899,clean,0,1,-0.3629,-0.223,-1.0,164,0.002644
238,38061,clean,0,1,-0.7192,-1.0,-1.0,162,0.001766
239,38221,clean,0,1,0.7845,-0.9369,-1.0,160,0.002635
240,38378,clean,0,1,1.0,-0.9321,-1.0,157,0.00193
241,38534,clean,0,1,0.6967,-0.9508,-1.0,156,0.001356
242,38691,clean,0,1,1.0,-0.9355,-1.0,157,0.002125
243,38849,clean,0,1,0.9314,-0.9549,-1.0,158,0.001657
244,39009,clean,0,1,0.6997,-0.9563,-0.8643,160,0.00173
245,39169,clean,0,1,1.0,-0.9466,-1.0,160,0.002266
246,39337,clean,0,1,0.647,-0.9113,-1.0,168,0.001381
247,39496,clean,0,1,1.0,-0.9337,-1.0,159,0.0017
248,39659,clean,0,1,-0.2178,-0.231,-1.0,163,0.001287
249,39814,clean,0,1,0.6018,-0.9584,-0.5127,155,0.001166
250,39972,clean,0,1,1.0,-0.9439,-1.0,158,0.000736
251,40121,clean,0,1,0.7464,-0.9481,-0.553,149,0.001524
252,40281,clean,0,1,1.0,-0.9438,-1.0,160,0.002076
253,40440,clean,0,1,0.8731,-0.9455,-1.0,159,0.004327
254,40603,clean,0,1,1.0,-0.9493,-1.0,163,0.00228
255,40762,clean,0,1,0.8463,-0.9371,-1.0,159,0.001386
256,40928,clean,0,1,0.7345,-0.9584,-1.0,166,0.00114
257,41088,clean,0,1,-0.2569,-0.9671,0.2381,160,0.001465
258,41243,clean,0,1,0.9208,-0.9448,-1.0,155,0.001725
259,41406,clean,0,1,0.7107,-0.9559,-1.0,163,0.001479
260,41570,clean,0,1,1.0,-0.9378,-1.0,164,0.001988
261,41727,clean,0,1,1.0,-0.9441,-1.0,157,0.001275
262,41891,clean,0,1,0.2377,-0.9618,0.2117,164,0.001191
263,42050,clean,0,1,0.5882,-0.9495,-1.0,159,0.002181
264,42216,clean,0,1,0.9834,-0.9512,-1.0,166,0.001263
265,42374,clean,0,1,1.0,-0.937,-1.0,158,0.001591
266,42534,clean,0,1,0.5886,-0.2934,-1.0,160,0.002007
267,42700,clean,0,1,0.6617,-0.9503,-1.0,166,0.00105
268,42855,clean,0,1,1.0,-0.8805,-1.0,155,0.001483
269,43016,clean,0,1,0.9866,-0.9479,-1.0,161,0.001105
270,43179,clean,0,1,-0.1848,-0.2175,-1.0,163,0.00092
271,43339,clean,0,1,0.9301,-0.9543,-1.0,160,0.001038
272,43498,clean,0,1,-0.185,-0.2915,-1.0,159,0.001017
273,43657,clean,0,1,0.6861,-0.9551,-1.0,159,0.001312
274,43816,clean,0,1,1.0,-0.9446,-1.0,159,0.001282
275,43978,clean,0,1,-0.3271,-0.2835,-1.0,162,0.000884
276,44136,clean,0,1,1.0,-0.9468,0.2905,158,0.000683
277,44294,clean,0,1,1.0,-0.9553,-1.0,158,0.000692
278,44458,clean,0,1,0.9062,-0.9198,-1.0,164,0.000764
279,44622,clean,0,1,0.8024,-0.9467,-1.0,164,0.00146
280,44787,clean,0,1,-0.2783,-0.3407,-1.0,165,0.0005
281,44941,clean,0,1,1.0,-0.9126,-1.0,154,0.002452
282,45108,clean,0,1,0.8677,-0.9608,-1.0,167,0.000868
283,45274,clean,0,1,0.7439,-0.8429,-1.0,166,0.001188
284,45440,clean,0,1,0.746,-0.963,-1.0,166,0.000595
285,45596,clean,0,1,0.6075,-0.9586,-0.7755,156,0.002214
286,45755,clean,0,1,1.0,-0.9498,-1.0,159,0.001853
287,45909,clean,0,1,1.0,-0.9479,-0.4528,154,0.00145
288,46062,clean,0,1,0.8719,-0.9587,-1.0,153,0.001092
289,46222,clean,0,1,0.6753,-0.9594,-1.0,160,0.000538
290,46387,clean,0,1,0.9359,-0.9508,-0.4032,165,0.000809
291,46551,clean,0,1,0.9318,-0.956,-1.0,164,0.001825
292,46710,clean,0,1,0.5568,-0.9544,-0.0384,159,0.001616
293,46872,clean,0,1,0.9013,-0.9476,-1.0,162,0.001236
294,47030,clean,0,1,1.0,-0.9321,-1.0,158,0.000809
295,47195,clean,0,1,1.0,-0.9472,-1.0,165,0.001075
296,47354,clean,0,1,1.0,-0.9466,-0.7819,159,0.000915
297,47510,clean,0,1,1.0,-0.9225,-1.0,156,0.000913
298,47667,clean,0,1,1.0,-0.9509,-1.0,157,0.001195
299,47831,clean,0,1,0.5854,-0.9334,-1.0,164,0.000875
300,47995,clean,0,1,0.9882,-0.9532,-1.0,164,0.001036
301,48150,clean,0,1,0.8139,-0.9565,-1.0,155,0.002596
302,48306,clean,0,1,1.0,-0.9202,-1.0,156,0.000645
303,48467,clean,0,1,0.9511,-0.953,-1.0,161,0.001093
304,48630,clean,0,1,0.8844,-0.9387,-1.0,163,0.000803
305,48785,clean,0,1,0.9867,-0.8878,-1.0,155,0.000619
306,48950,clean,0,1,0.8112,-0.9593,-1.0,165,0.001152
307,49112,clean,0,1,-0.6443,-0.4357,-1.0,162,0.000861
308,49273,clean,0,1,0.7127,-0.9276,-1.0,161,0.000949
309,49433,clean,0,1,0.5666,-0.9614,-1.0,160,0.001196
310,49587,clean,0,1,0.9987,-0.8857,-1.0,154,0.001291
