==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_water.csv
  Metrics log  → /workspace/training_metrics_water.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
    111     17774   156   +2.829    3932     50     52  -0.0935  -0.9681  -0.2438  +0.9626
    112     17936   162   -2.416    2831     51     73  -0.3484  -1.0000  -0.5840  +0.3923
    113     18091   155   +4.318    4426     57     75  +0.0071  -0.8383  +0.9412  +0.9518
    114     18249   158   -4.589    2600     60     62  -0.3946  -1.0000  -0.3114  +0.0822
    115     18410   161   -0.821    2861     69     63  -0.3966  -1.0000  -0.1680  +0.0419
    116     18568   158   -6.103    1893     66     43  -0.5355  -1.0000  -0.9710  -0.2839
    117     18733   165   +5.822    5227     72     56  +0.0365  -0.6282  +0.8207  +0.8045
    118     18897   164   -4.493    1147     57     53  -0.6180  -1.0000  -1.0000  -0.4937
    119     19055   158   -2.638     960     74     49  -0.6707  -1.0000  -1.0000  -0.6776
    120     19211   156   +1.521    4274     63     50  -0.1500  -0.8783  -0.2616  +0.7064
    121     19373   162   +5.100    5492     76     54  -0.0006  -0.5586  +0.2021  +0.8186
    122     19533   160   -2.349    3283     61     59  -0.2876  -1.0000  -0.0600  +0.3409
    123     19687   154   -3.135    2368     60     62  -0.4359  -1.0000  -0.4258  -0.0123
    124     19846   159   -2.223    2891     62     43  -0.3145  -1.0000  -0.1626  +0.1758
    125     20008   162   -5.950    2125     59     78  -0.5051  -1.0000  -0.5692  -0.0939
    126     20165   157   -5.423    2674     70     60  -0.4902  -1.0000  -0.9114  -0.0425
    127     20321   156   +7.288    5689     59     56  +0.1095  -0.5068  +0.6374  +1.0000
    128     20481   160   -2.771    1931     65     68  -0.5552  -1.0000  -0.7486  -0.2577
    129     20642   161   +1.662    4289     69     50  -0.1090  -0.8742  +0.6039  +0.5579
    130     20805   163   -5.062    1305     76     56  -0.6530  -1.0000  -1.0000  -0.5699
    131     20969   164   -4.338    3250     74     68  -0.4024  -1.0000  -0.3011  +0.1046
    132     21137   168   -6.219    3184     79     71  -0.4416  -1.0000  -0.3275  +0.0075
    133     21298   161   -2.702    2530     81     47  -0.4732  -1.0000  -0.4457  -0.2169
    134     21462   164   -5.478    3061     80     54  -0.4550  -1.0000  -0.6348  -0.0452
    135     21619   157   -5.394    2257     76     55  -0.4989  -1.0000  -0.4471  -0.2522
    136     21772   153   -5.321    1757     63     49  -0.5556  -1.0000  -1.0000  -0.3061
    137     21931   159   -3.687    3069     62     55  -0.3437  -1.0000  -0.4009  +0.2409
    138     22091   160   +2.791    4406     66     56  -0.1014  -0.8437  +0.3411  +0.6789
    139     22252   161   -2.106    3799     79     58  -0.2947  -1.0000  +0.2977  +0.2010
    140     22409   157   -4.501    2720     64     33  -0.3825  -1.0000  -0.6753  +0.0576
    141     22571   162   -2.567    3159     71     36  -0.3441  -1.0000  -0.3666  +0.1096
    142     22731   160   -4.637    2582     60     42  -0.3910  -1.0000  -0.6748  +0.0844
    143     22886   155   -0.238    1143     65     38  -0.6047  -1.0000  -0.9351  -0.5625
    144     23045   159   -3.025    1625     67     61  -0.5759  -1.0000  -0.6842  -0.3963
    145     23203   158   -1.863    3816     66     42  -0.2550  -0.9984  -0.4274  +0.4560
    146     23361   158   -0.910    4116     74     40  -0.2319  -0.9197  -0.1981  +0.3883
    147     23519   158   -3.023    3289     64     73  -0.3541  -1.0000  -0.2962  +0.2917
    148     23677   158   -4.196    3162     73     48  -0.3912  -1.0000  -0.5060  +0.0792
    149     23839   162   -4.317    2734     85     49  -0.4699  -1.0000  -0.4297  -0.1944
    150     23997   158   -5.052    2190     69     59  -0.5047  -1.0000  -0.5587  -0.2104
    151     24157   160   -0.899    3670     69     34  -0.2512  -1.0000  -0.1672  +0.3362
    152     24323   166   -1.790    3718     67     43  -0.2824  -1.0000  -0.4544  +0.3854
    153     24484   161   -1.258    3547     68     42  -0.3252  -1.0000  -0.6416  +0.2975
    154     24645   161   -3.478    1931     64     49  -0.5012  -1.0000  -0.6202  -0.2515
    155     24805   160   -5.715    2465     60     56  -0.4591  -1.0000  -0.8981  +0.0261
    156     24973   168   -3.257    3363     66     52  -0.3308  -1.0000  -0.4377  +0.2751
    157     25130   157   -0.401     669     72     44  -0.6862  -1.0000  -1.0000  -0.7684
    158     25292   162   +4.607    4981     72     45  -0.0205  -0.6926  +0.4250  +0.7271
    159     25457   165   -4.210    2048     63     67  -0.5043  -1.0000  -0.4792  -0.1911
    160     25621   164   +3.285    4582     68     44  -0.0593  -0.7974  +0.3938  +0.6862
    161     25782   161   -2.575    2398     60     55  -0.4170  -1.0000  -0.4370  +0.0057
    162     25940   158   -3.442    3156     68     37  -0.3294  -1.0000  -0.3723  +0.1623
    163     26094   154   -3.673    1417     69     50  -0.6139  -1.0000  -1.0000  -0.4855
    164     26256   162   -2.853    3908     82     34  -0.3047  -0.9742  -0.3027  +0.1968
    165     26408   152   -5.812    1875     45     77  -0.4941  -1.0000  -0.9474  +0.0502
    166     26564   156   +1.151    4500     72     31  -0.1326  -0.8188  -0.1926  +0.5706
    167     26719   155   +6.527    5405     60     84  +0.0632  -0.5814  +0.9047  +1.0000
    168     26885   166   -5.494    2122     72     57  -0.5274  -1.0000  -0.6635  -0.2643
    169     27046   161   -4.389    2294     76     33  -0.4579  -1.0000  -0.5062  -0.2402
    170     27210   164   -1.514    4063     70     63  -0.2155  -0.9335  +0.2372  +0.4557
    171     27376   166   -2.915    3428     73     49  -0.3609  -1.0000  -0.4572  +0.1708
    172     27542   166   +2.110    5019     81     38  -0.1036  -0.6826  -0.0024  +0.5465
    173     27700   158   +6.413    4952     62     66  +0.0747  -0.7003  +1.0000  +0.9875
    174     27862   162   +6.812    5241     66     44  +0.1135  -0.6243  +0.8138  +0.9782
    175     28020   158   -2.414    3362     66     32  -0.2914  -1.0000  -0.4449  +0.2798
    176     28174   154   -3.230    3284     65     61  -0.3684  -1.0000  -0.6060  +0.2683
    177     28334   160   +1.050    4152     58     66  -0.1568  -0.9104  -0.1610  +0.7798
    178     28494   160   -0.875    2136     69     49  -0.4113  -1.0000  +0.2231  -0.2274
    179     28653   159   +9.685    6298     66     50  +0.1893  -0.3471  +0.9255  +1.0000
    180     28812   159   +3.405    4924     73     62  -0.0584  -0.7077  +0.5628  +0.6810
    181     28971   159   -5.684    2699     84     37  -0.4508  -1.0000  -0.4806  -0.1931
    182     29124   153   -2.744    2410     78     21  -0.4672  -1.0000  -0.8763  -0.2253
    183     29283   159   +2.963    4528     66     40  -0.0700  -0.8117  +0.1184  +0.7238
    184     29441   158   -4.167    1711     66     40  -0.5523  -1.0000  -0.9863  -0.3536
    185     29598   157   -0.967    4002     74     36  -0.2124  -0.9497  +0.1042  +0.3542
    186     29757   159   -1.047    4167     75     34  -0.2164  -0.9063  -0.1854  +0.3888
    187     29916   159   -4.222    3539     75     36  -0.3231  -1.0000  -0.3834  +0.1849
    188     30071   155   -2.206    3676     64     65  -0.2731  -1.0000  -0.0482  +0.4244
    189     30226   155   +4.496    5211     71     51  -0.0127  -0.6324  +0.1856  +0.8243
    190     30387   161   -1.011    2529     70     40  -0.4285  -1.0000  -0.5230  -0.0940
    191     30542   155   -4.730    3074     69     48  -0.3912  -1.0000  -0.5958  +0.1079
    192     30706   164   -2.779    1828     67     42  -0.5289  -1.0000  -0.8308  -0.3167
    193     30866   160   +7.267    5711     67     53  +0.1162  -0.5012  +0.6472  +1.0000
    194     31028   162   -3.061    2707     71     39  -0.3908  -1.0000  -0.2857  -0.0511
    195     31186   158   +1.764    3644     80     22  -0.2514  -1.0000  +0.2400  +0.1334
    196     31344   158   -2.344    2813     60     37  -0.3197  -1.0000  -0.2973  +0.1648
    197     31509   165   -3.527    1654     79     42  -0.5276  -1.0000  -0.3086  -0.4758
    198     31665   156   +0.755    3676     82     31  -0.2508  -1.0000  +0.4787  +0.1167
    199     31828   163   -5.506    2064     60     76  -0.5090  -1.0000  -0.4962  -0.1422
    200     31987   159   +4.760    4575     84     28  -0.1604  -0.7992  +0.0673  +0.3686

  ── rolling mean (last 100 ep) ──  cum_R=-1.260  yield=3279 kg/ha  N=68  W=51 mm  R_seas=-0.3166  R_ane=+0.1948

    201     32148   161   +4.391    4857     64     51  +0.0296  -0.7252  +0.6087  +0.8928
    202     32308   160   -6.158    1948     64     45  -0.5289  -1.0000  -1.0000  -0.2406
    203     32463   155   -4.148    1400     80     28  -0.5934  -1.0000  -1.0000  -0.5597
    204     32522    59   -7.597       0     29      8  -0.6746  -1.0000  -1.0000  -1.0000
    205     32685   163   +1.460    4064     66     43  -0.1339  -0.9334  +0.4313  +0.5324
    206     32846   161   +7.591    5390     69     31  +0.1188  -0.5852  +0.5562  +0.9652
    207     33010   164   +3.195    4847     77     42  -0.0908  -0.7279  +0.2288  +0.5758
    208     33168   158   -2.312    2100     88     26  -0.5174  -1.0000  -0.7275  -0.4002
    209     33328   160   -1.205    4180     85     34  -0.2322  -0.9030  +0.1301  +0.2339
    210     33485   157   -3.659    2955     59     62  -0.3437  -1.0000  -0.3029  +0.2512
    211     33643   158   -0.425    3402     48     67  -0.2038  -1.0000  -0.3770  +0.7647
    212     33804   161   -0.202    4637     95     42  -0.2068  -0.7830  +0.3237  +0.2178
    213     33966   162   -1.087    4258     73     54  -0.2593  -0.8823  -0.5180  +0.4648
    214     34127   161   -3.238    1664     97     27  -0.5971  -1.0000  -0.9671  -0.5721
    215     34292   165   +7.069    5938     86     31  +0.0760  -0.4415  +0.5177  +0.7278
    216     34455   163   -0.550    3519     80     55  -0.2840  -1.0000  +0.6759  +0.0951
    217     34615   160   -2.598    1638     84     26  -0.5269  -1.0000  -0.5072  -0.5102
    218     34774   159   -1.822    3234     74     34  -0.3398  -1.0000  -0.2972  +0.0889
    219     34937   163   +1.401    4747     97     26  -0.1544  -0.7541  +0.4459  +0.2204
    220     35101   164   -2.919    3558     76     36  -0.3268  -1.0000  -0.3694  +0.1742
    221     35255   154   -4.270    2154     69     41  -0.4565  -1.0000  -0.4044  -0.2210
    222     35421   166   +4.368    3941     79     37  -0.1929  -0.9656  +0.6733  +0.2526
    223     35587   166   -0.354    4387     89     39  -0.2138  -0.8485  +0.2832  +0.2362
    224     35751   164   -1.743    4020     73     33  -0.2386  -0.9448  -0.3170  +0.3784
    225     35912   161   -3.306    3503     70     57  -0.3289  -1.0000  -0.2430  +0.2569
    226     36077   165   +2.153    4911     82     34  -0.0900  -0.7109  +0.2476  +0.5053
    227     36235   158   -3.519    2686     63     57  -0.3981  -1.0000  -0.3612  +0.0598
    228     36392   157   -3.037    3491     68     51  -0.3417  -1.0000  -0.5888  +0.2851
    229     36551   159   -3.978    3680     84     43  -0.3812  -1.0000  -0.5481  +0.1025
    230     36707   156   +2.747    4655     75     31  -0.0916  -0.7782  +0.1684  +0.5585
    231     36870   163   -2.267    3865     79     37  -0.3247  -0.9854  -0.5204  +0.2265
    232     37032   162   +1.674    4181     70     30  -0.1419  -0.9025  +0.1200  +0.4964
    233     37187   155   -2.977    1598     84     31  -0.5912  -1.0000  -1.0000  -0.5253
    234     37352   165   -3.361    3359     77     32  -0.3567  -1.0000  -0.5273  +0.0957
    235     37512   160   +2.135    4173     68     40  -0.1631  -0.9047  +0.0304  +0.5246
    236     37671   159   -1.435    3679     74     33  -0.2448  -1.0000  +0.1772  +0.2402
    237     37829   158   -6.243    1905     73     43  -0.5269  -1.0000  -0.6896  -0.3455
    238     37985   156   -5.643    2458     66     45  -0.4639  -1.0000  -0.8800  -0.0645
    239     38148   163   +1.460    4639     71     43  -0.0911  -0.7823  +0.1616  +0.6400
    240     38311   163   +1.528    4823     81     39  -0.1848  -0.7342  -0.4733  +0.4810
    241     38475   164   +0.825    4371     81     43  -0.1731  -0.8527  +0.3949  +0.3541
    242     38639   164   +3.781    4757     61     56  +0.0174  -0.7514  +0.4712  +0.9503
    243     38804   165   -4.826    2771     76     46  -0.4312  -1.0000  -0.4475  -0.0832
    244     38966   162   +7.580    5647     72     38  +0.1060  -0.5178  +0.4652  +0.9472
    245     39122   156   +6.834    5396     73     35  +0.0628  -0.5837  +0.4253  +0.8499
    246     39284   162   -5.242    2436     82     47  -0.5413  -1.0000  -0.9991  -0.2569
    247     39444   160   -4.373    3056     75     34  -0.4111  -1.0000  -0.8039  +0.0230
    248     39609   165   -3.711    1428     78     33  -0.5976  -1.0000  -1.0000  -0.5404
