episode,timestep,ep_length,cum_reward,w_yield,w_water,w_fert,R_yield,R_water,R_fert,yield_kg_ha,total_N_kg_ha,total_W_mm
150,26624,158,2.295833,0.2094,0.0176,0.773,2.70058,-0.339687,-4.949926,4368.7,208.4,47.9
151,26624,154,-5.220245,0.1316,0.5072,0.3613,0.365701,-0.195614,-3.680489,907.8,148.0,19.1
152,26624,162,32.487629,0.5782,0.1916,0.2302,6.549026,-0.572996,-5.373535,7836.1,220.7,94.6
153,26624,152,-1.089444,0.2115,0.1701,0.6184,1.323942,-0.23751,-4.653267,2302.1,190.8,27.5
154,26624,156,16.766956,0.3205,0.1266,0.5529,6.529006,-0.329233,-4.034962,7657.5,182.1,45.8
155,26624,155,13.834653,0.4138,0.0203,0.566,4.289259,-0.501206,-5.339214,5269.5,227.7,80.2
156,26624,166,16.587609,0.6282,0.3489,0.0229,2.442361,-0.481608,-5.802159,3618.0,242.3,76.3
157,28672,164,-1.264966,0.0762,0.7476,0.1762,4.437057,-0.160337,-4.528593,5765.6,197.8,12.1
158,28672,166,12.192836,0.5267,0.2755,0.1978,2.421302,-0.425885,-7.007458,3569.5,288.8,65.2
159,28672,166,7.141176,0.1875,0.2644,0.5481,6.386814,-0.286099,-5.15508,7307.6,224.3,37.2
160,28672,158,-2.151349,0.0806,0.7625,0.1569,2.630349,-0.170237,-4.23616,3967.8,183.0,14.0
161,28672,162,-4.825665,0.0141,0.4914,0.4945,4.60568,-0.239964,-4.344818,6212.7,185.6,28.0
162,28672,158,-2.079687,0.1038,0.3774,0.5188,2.529207,-0.210869,-4.119477,3807.5,177.7,22.2
163,28672,154,-0.478643,0.2137,0.7025,0.0838,2.360049,-0.169033,-5.3596,3417.1,220.6,13.8
164,28672,160,6.796282,0.2324,0.4511,0.3166,4.371923,-0.251383,-5.056426,5680.4,217.5,30.3
165,28672,160,8.993978,0.7629,0.1514,0.0857,1.087183,-0.62267,-7.600637,1521.7,302.9,104.5
166,28672,159,2.905711,0.142,0.6103,0.2477,4.751611,-0.205203,-4.054345,6708.4,176.6,21.0
167,28672,159,19.568805,0.554,0.3591,0.0869,4.206608,-0.391537,-6.48204,5051.7,272.7,58.3
168,28672,159,4.640732,0.3358,0.2794,0.3848,2.33614,-0.379541,-5.529066,3302.1,230.2,55.9
169,30720,159,-5.231401,0.016,0.1558,0.8282,2.629942,-0.426877,-4.899118,4220.4,204.4,65.4
170,30720,158,-3.011935,0.176,0.5726,0.2514,1.161819,-0.487179,-5.433831,1754.9,216.7,75.6
171,30720,157,-5.681824,0.0308,0.7254,0.2438,4.240461,-0.39166,-5.343478,5141.5,225.8,58.3
172,30720,159,2.469456,0.1441,0.3779,0.478,6.355354,-0.424522,-6.030756,7228.6,256.8,64.9
173,30720,159,26.660007,0.5483,0.0271,0.4246,6.319258,-0.288521,-6.580024,7137.2,279.8,37.7
174,30720,155,9.07265,0.2768,0.6942,0.029,4.524656,-0.353741,-5.449872,6076.9,231.2,50.4
175,30720,155,1.427391,0.1032,0.0368,0.86,4.283329,-0.424244,-4.416447,5232.4,192.4,53.6
176,30720,161,10.800445,0.6008,0.2349,0.1644,1.532859,-0.310936,-7.444732,2929.0,299.8,42.2
177,30720,155,-3.659629,0.0781,0.4149,0.507,2.36584,-0.428192,-5.027033,3423.9,205.8,65.6
178,30720,164,-6.518406,0.2527,0.5559,0.1914,1.082373,-0.39067,-6.769795,1535.2,269.3,58.1
179,30720,160,17.811304,0.4047,0.0117,0.5836,6.497001,-0.331915,-6.709544,7675.0,285.2,46.4
180,30720,162,-4.025379,0.1955,0.1369,0.6675,1.309117,-0.46372,-5.695294,2228.7,234.2,72.7
181,32768,158,-11.425676,0.0065,0.4936,0.4999,1.366013,-0.406592,-5.847544,2451.8,237.9,61.3
182,32768,165,-8.71992,0.1524,0.1064,0.7412,0.457991,-0.433572,-6.119469,1151.9,241.9,66.7
183,32768,156,-4.648207,0.1196,0.0521,0.8282,2.472122,-0.348854,-5.602458,3597.8,235.4,48.7
184,32768,163,-7.671163,0.2285,0.1413,0.6303,0.541983,-0.40231,-6.9919,1437.7,280.2,60.5
185,32768,159,16.954726,0.5468,0.4033,0.0499,2.786509,-0.28644,-7.287606,4686.2,302.0,37.3
186,32768,161,12.647752,0.3546,0.5462,0.0993,4.449633,-0.385602,-5.818707,5805.6,249.1,57.1
187,32768,160,8.889374,0.5704,0.1464,0.2832,1.407409,-0.292832,-8.747242,2636.9,348.6,38.6
188,32768,155,-3.908016,0.3949,0.1267,0.4784,0.32406,-0.31108,-7.31952,835.3,293.3,42.2
189,32768,59,-4.256629,0.0575,0.0802,0.8623,0.015631,-0.399674,-1.850365,0.0,71.1,59.7
190,32768,163,13.296148,0.5351,0.3052,0.1597,2.716377,-0.352219,-8.176907,4403.3,335.5,50.4
191,32768,161,-2.063379,0.0662,0.8208,0.113,4.516291,-0.367493,-5.320564,6005.4,227.8,52.4
192,32768,164,3.091026,0.1524,0.4234,0.4242,6.318841,-0.419608,-5.792562,7027.0,248.9,63.9
193,32768,158,-7.143327,0.1439,0.4443,0.4119,0.523596,-0.359173,-6.323843,1369.3,251.3,51.8
194,34816,157,-6.87357,0.0861,0.4467,0.4671,2.34484,-0.432404,-5.671191,3288.5,231.5,66.5
195,34816,158,-0.600631,0.073,0.591,0.336,4.720435,-0.408378,-5.552279,6721.3,240.4,61.7
196,34816,161,-3.26251,0.1742,0.0146,0.8113,2.732973,-0.281333,-6.635769,4529.2,273.9,36.3
197,34816,162,8.945345,0.2352,0.6816,0.0833,4.661608,-0.446802,-7.756658,6713.1,320.8,69.4
198,34816,161,14.30933,0.8878,0.0816,0.0306,1.108173,-0.442784,-10.730576,1642.8,425.5,68.6
199,34816,165,20.842795,0.5472,0.3941,0.0587,4.277416,-0.448399,-8.28893,5439.2,341.6,69.0
200,34816,163,-7.103005,0.1613,0.1213,0.7174,2.44514,-0.358185,-6.529809,3514.2,268.7,51.6
201,34816,160,-6.700831,0.1316,0.8617,0.0067,1.158848,-0.49456,-6.915533,1750.0,275.9,78.5
202,34816,159,-13.571646,0.0197,0.0649,0.9154,0.547202,-0.311318,-5.983118,1497.5,237.9,42.3
203,34816,163,-6.629019,0.0633,0.6532,0.2835,2.75423,-0.482299,-6.413869,4682.2,263.9,76.5
204,34816,164,-5.698172,0.0899,0.1725,0.7376,4.278778,-0.287945,-6.72064,5372.7,282.3,37.6
205,34816,154,7.983596,0.6318,0.2468,0.1214,1.311978,-0.403088,-9.246867,2172.1,370.7,59.9
206,36864,166,4.268536,0.3624,0.0905,0.5471,2.794739,-0.255463,-8.712145,4784.7,357.7,31.1
207,36864,164,21.24558,0.4773,0.3638,0.1589,4.546532,-0.350285,-9.094989,6324.8,373.4,50.1
208,36864,161,13.143922,0.5729,0.381,0.0461,2.372478,-0.348227,-9.867948,3438.1,400.2,45.6
209,36864,165,16.837762,0.3927,0.4369,0.1704,4.757321,-0.49215,-7.869417,6910.8,318.6,67.2
210,36864,158,-6.64194,0.0137,0.6561,0.3302,2.363715,-0.493986,-5.482733,3326.0,229.1,78.8
211,36864,157,1.574219,0.2224,0.1306,0.6469,4.183986,-0.286885,-7.349128,5029.7,304.6,37.4
212,36864,159,-3.817745,0.1066,0.4141,0.4793,4.139323,-0.434139,-7.076653,5017.5,289.2,66.8
213,36864,156,3.64815,0.2791,0.2625,0.4585,2.688632,-0.33559,-6.669066,4432.0,277.7,47.1
214,36864,163,10.078195,0.4638,0.4479,0.0883,2.363694,-0.468952,-9.337087,3503.4,375.1,73.8
215,36864,162,1.646582,0.2237,0.4607,0.3156,2.715457,-0.45562,-7.205995,4499.3,298.7,71.1
216,36864,155,-10.974921,0.0063,0.8129,0.1808,1.080451,-0.533838,-6.014981,1569.3,232.7,86.7
217,36864,165,10.573165,0.5423,0.081,0.3767,2.514647,-0.340238,-9.93736,3931.9,402.9,48.0
218,38912,159,-1.666926,0.1374,0.7757,0.0869,2.804487,-0.552926,-6.534594,4732.9,260.8,90.6
219,38912,158,-0.586026,0.4581,0.0981,0.4438,1.242304,-0.516749,-9.345437,2094.7,374.8,81.3
220,38912,156,-5.086565,0.0459,0.8143,0.1398,2.380288,-0.501117,-6.548154,3482.8,267.2,77.6
221,38912,163,6.602312,0.1811,0.7531,0.0658,6.450026,-0.656651,-7.141306,7528.2,300.1,111.3
222,38912,163,-1.997143,0.0821,0.7352,0.1827,4.543489,-0.540703,-6.498766,6162.0,275.6,85.9
223,38912,164,-7.518561,0.022,0.1088,0.8692,2.77187,-0.379878,-6.143948,4608.4,256.9,56.0
224,38912,164,-4.059879,0.069,0.1651,0.766,6.31958,-0.387336,-6.204165,7064.8,262.8,57.5
225,38912,165,5.969137,0.4833,0.4333,0.0834,1.56538,-0.728152,-9.172749,2995.1,370.3,120.8
226,38912,162,13.095536,0.3883,0.4232,0.1885,4.535696,-0.659368,-8.745745,6171.7,357.3,108.4
227,38912,156,11.80445,0.3555,0.5677,0.0767,4.459467,-0.682031,-8.352384,5985.1,340.7,112.2
228,38912,162,-8.388654,0.0384,0.51,0.4516,1.275475,-0.516763,-6.892663,2235.8,276.5,83.4
229,38912,160,10.983421,0.3611,0.5704,0.0685,4.121544,-0.592986,-9.011513,5035.5,366.0,98.4
230,40960,162,-1.273648,0.4333,0.1279,0.4387,1.166645,-0.575222,-9.78262,1853.3,390.8,95.0
231,40960,161,4.545671,0.2329,0.7447,0.0224,4.519507,-0.773927,-7.389357,6069.9,299.3,132.7
232,40960,159,4.617088,0.6352,0.0117,0.3531,1.132689,-0.525959,-10.035375,1784.7,401.3,85.2
233,40960,152,6.673202,0.493,0.4961,0.0109,1.48916,-0.644411,-8.467643,2750.3,341.7,108.9
234,40960,163,11.709777,0.4646,0.2231,0.3122,2.862242,-0.574375,-9.602111,4960.7,390.3,94.9
235,40960,154,-7.340464,0.087,0.6568,0.2562,1.191438,-0.691812,-6.700061,1754.3,256.5,118.4
236,40960,156,-8.770756,0.128,0.0363,0.8357,2.61375,-0.466317,-7.663554,4142.4,314.2,72.8
237,40960,166,-9.175499,0.0717,0.4333,0.4949,1.518807,-0.693678,-7.477065,2833.3,302.5,118.2
238,40960,161,-2.871241,0.2552,0.5997,0.145,1.356668,-0.779373,-7.636267,2321.5,307.4,135.9
239,40960,154,-4.384533,0.1461,0.6353,0.2185,2.465885,-0.691357,-7.136164,3631.5,292.1,115.7
240,40960,157,8.627572,0.5288,0.4543,0.0169,1.498425,-0.602383,-9.240519,2934.5,372.0,100.5
241,40960,161,6.482226,0.3083,0.4232,0.2685,4.254172,-0.711563,-8.325553,5229.6,341.4,120.5
