====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 12)
  Hindsight: w resampled from Dirichlet at every sample call
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w       ETA
  ──────────────────────────────────────────────────────────────────────────────
  Collecting first episodes...

     920   146,617   +0.016   -0.991   +0.955     7679  [0.25,0.17,0.58]  ETA 128.6m
     930   148,232   -0.265   -0.961   +0.933     6611  [0.08,0.64,0.29]  ETA 128.4m
     940   149,819   -0.777   -1.000   +0.969     4661  [0.01,0.11,0.88]  ETA 128.2m
     950   151,422   -0.182   -0.994   +0.943     6927  [0.39,0.05,0.56]  ETA 128.0m
     960   153,022   -1.000   -1.000   +0.927     1233  [0.38,0.30,0.32]  ETA 127.7m
     970   154,634   +0.683   -0.988   +0.938    10223  [0.55,0.20,0.25]  ETA 127.5m
     980   156,252   -1.000   -1.000   +0.938     1141  [0.06,0.90,0.04]  ETA 127.3m
     990   157,860   -0.574   -0.969   +0.932     5435  [0.20,0.64,0.16]  ETA 127.0m
    1000   159,467   -0.849   -1.000   +0.947     4385  [0.15,0.34,0.51]  ETA 126.8m
    1010   161,066   -1.000   -1.000   +0.935     3774  [0.00,1.00,0.00]  ETA 126.5m
    1020   162,645   -1.000   -1.000   +0.938     3743  [0.23,0.50,0.28]  ETA 126.3m
    1030   164,242   -0.446   -0.993   +0.957     5923  [0.22,0.19,0.59]  ETA 126.1m
    1040   165,842   -1.000   -1.000   +0.963      961  [0.22,0.09,0.69]  ETA 125.9m
    1050   167,431   -0.764   -1.000   +0.894     4711  [0.55,0.08,0.37]  ETA 125.6m
    1060   168,941   -1.000   -1.000   +0.937     3655  [0.35,0.57,0.07]  ETA 125.4m
    1070   170,516   -1.000   -1.000   +0.939     2419  [0.72,0.28,0.00]  ETA 125.2m
    1080   172,104   -0.280   -0.995   +0.962     6552  [0.00,0.00,1.00]  ETA 125.0m
    1090   173,714   -0.599   -0.996   +0.969     5338  [0.15,0.04,0.80]  ETA 124.7m
    1100   175,321   -1.000   -1.000   +0.934     1895  [1.00,0.00,0.00]  ETA 124.5m
    1110   176,904   -1.000   -1.000   +0.939     1330  [0.75,0.12,0.13]  ETA 124.3m
    1120   178,520   -0.228   -0.994   +0.931     6750  [0.63,0.04,0.32]  ETA 124.0m
    1130   180,131   -0.438   -0.990   +0.938     5950  [0.45,0.34,0.21]  ETA 123.7m
    1140   181,722   -1.000   -1.000   +0.938     2204  [0.76,0.05,0.19]  ETA 123.5m
    1150   183,320   -1.000   -1.000   +0.943     1255  [0.22,0.61,0.17]  ETA 123.3m
    1160   184,949   -1.000   -1.000   +0.940     2591  [0.57,0.17,0.26]  ETA 123.0m
    1170   186,551   -1.000   -1.000   +0.944     2018  [0.13,0.42,0.45]  ETA 122.8m
    1180   188,157   -1.000   -1.000   +0.940     3789  [0.58,0.19,0.23]  ETA 122.5m
    1190   189,744   -1.000   -1.000   +0.972     1596  [0.00,0.00,1.00]  ETA 122.3m
    1200   191,341   -0.175   -0.994   +0.738     6953  [0.55,0.03,0.43]  ETA 122.0m
    1210   192,962   -0.840   -1.000   +0.942     4418  [0.00,1.00,0.00]  ETA 121.8m
    1220   194,581   -1.000   -1.000   +0.935     3653  [0.60,0.20,0.20]  ETA 121.6m
    1230   196,166   -1.000   -1.000   +0.846     3024  [1.00,0.00,0.00]  ETA 121.3m
    1240   197,765   -0.977   -1.000   +0.967     3900  [0.38,0.12,0.50]  ETA 121.1m
    1250   199,362   -0.634   -0.996   +0.598     5205  [0.72,0.03,0.25]  ETA 120.8m
    1260   200,967   -0.937   -1.000   +0.931     4051  [0.54,0.27,0.18]  ETA 120.6m
    1270   202,556   -1.000   -1.000   +0.655     3338  [0.80,0.18,0.02]  ETA 120.3m
    1280   204,170   -0.566   -0.996   +0.419     5464  [0.71,0.03,0.26]  ETA 120.1m
    1290   205,773   -1.000   -1.000   +0.960     1018  [0.06,0.03,0.91]  ETA 119.9m
    1300   207,358   -1.000   -1.000   +0.933     1147  [0.16,0.43,0.42]  ETA 119.6m
    1310   208,953   -0.559   -0.994   +0.895     5489  [0.60,0.15,0.25]  ETA 119.4m
