====================================================================
12_capql_train_robust.py  —  CAPQL-Robust (MLP + fault training)
====================================================================
  Obs dim  : 19  (crop(11) + mask(5) + w(3))
  Actor    : MLP  (19→256→256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000  |  warmup 5,000  |  batch 256
  Hindsight: w ~ Dirichlet(1,1,1) resampled at every batch
  Aug λ=0.5  ε=0.1
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

     ep      step    R_yld    R_ane    R_wef    yield                   w  ETA
  ────────────────────────────────────────────────────────────────────────────
  Collecting warmup steps...

   1900   303,185   +0.700   -0.898   -0.569    10287  [0.20,0.39,0.41]  ETA 236.7m
   1910   304,787   +0.168   +0.012   -0.827     8259  [0.08,0.91,0.00]  ETA 236.1m
   1920   306,396   +0.599   -0.941   +0.416     9902  [0.00,0.00,1.00]  ETA 235.5m
   1930   307,979   +0.792   -0.872   -1.000    10637  [0.48,0.42,0.10]  ETA 234.9m
   1940   309,566   +1.000   -0.881   -0.657    11906  [0.21,0.23,0.56]  ETA 234.3m
   1950   311,172   +0.735   -0.913   -0.621    10422  [0.55,0.03,0.42]  ETA 233.7m
   1960   312,768   +0.834   -0.879   -0.162    10796  [0.01,0.46,0.53]  ETA 233.1m
   1970   314,343   -0.208   -0.934   -0.122     6826  [0.26,0.31,0.43]  ETA 232.5m
   1980   315,948   +0.515   -0.891   -0.839     9581  [0.11,0.51,0.38]  ETA 231.9m
   1990   317,554   +0.997   -0.858   -0.682    11417  [0.01,0.52,0.47]  ETA 231.3m
   2000   319,142   +0.348   -0.902   -0.888     8947  [0.08,0.54,0.38]  ETA 230.7m
   2010   320,703   -0.383   -0.957   +0.456     6159  [0.00,0.00,1.00]  ETA 230.2m
   2020   322,299   +0.788   -0.891   +0.079    10621  [0.25,0.05,0.70]  ETA 229.6m
   2030   323,886   -0.272   -0.906   +0.556     6583  [0.00,0.00,1.00]  ETA 229.0m
   2040   325,509   +0.472   -0.913   -0.257     9418  [0.50,0.08,0.42]  ETA 228.4m
   2050   327,094   -0.092   -0.920   -0.010     7270  [0.26,0.16,0.59]  ETA 227.8m
   2060   328,709   +0.953   -0.857   -0.718    11253  [0.03,0.60,0.37]  ETA 227.3m
   2070   330,314   +0.669   -0.902   -0.761    10170  [0.30,0.51,0.20]  ETA 226.7m
   2080   331,924   +0.236   +0.041   -0.870     8520  [0.00,1.00,0.00]  ETA 226.1m
   2090   333,509   +0.090   -0.922   -0.284     7963  [0.41,0.04,0.56]  ETA 225.5m
   2100   335,136   +0.449   -0.917   -0.436     9332  [0.58,0.32,0.10]  ETA 224.9m
   2110   336,719   +1.000   -0.853   -0.751    12232  [0.11,0.56,0.33]  ETA 224.4m
   2120   338,212   +0.686   -0.750   -0.652    10233  [0.08,0.72,0.21]  ETA 223.8m
   2130   339,805   +0.119   -0.891   +0.073     8074  [0.09,0.58,0.33]  ETA 223.3m
   2140   341,384   +0.804   +0.269   -0.689    10684  [0.00,1.00,0.00]  ETA 222.7m
   2150   342,952   +0.468   -0.594   -0.446     9401  [0.07,0.82,0.12]  ETA 222.2m
